Image_No,age,gender,race,center_dist,space
10,"{'0-2': 2.599693971205852e-05, '3-9': 0.0005344297278497834, '10-19': 0.03793109208345413, '20-29': 32.504937052726746, '30-39': 65.10483026504517, '40-49': 2.3467088118195534, '50-59': 0.004972753959009424, '60-69': 5.805059686281311e-05, '70+': 8.28518853523974e-07}","{'male': 99.99884963035583, 'female': 0.0011511342563608196}","{'white': 23.80363941192627, 'black': 0.007786157948430628, 'latino hispanic': 10.637881606817245, 'asian': 0.012796929513569921, 'indian': 7.152283191680908, 'middle eastern': 58.38561654090881}",,
11,20-29,female,white,225.83400983908513,44.0669059753418
11,"{'0-2': 0.0001714900122351537, '3-9': 0.21042090374976397, '10-19': 11.762485653162003, '20-29': 84.57397222518921, '30-39': 3.426023945212364, '40-49': 0.026770489057525992, '50-59': 0.000146358013353165, '60-69': 5.971377703417602e-06, '70+': 2.61802179934989e-07}","{'male': 0.3942323848605156, 'female': 99.60576891899109}","{'white': 84.52659249305725, 'black': 0.0031881889299256727, 'latino hispanic': 4.568398371338844, 'asian': 0.10968371061608195, 'indian': 0.2232113853096962, 'middle eastern': 10.568926483392715}",,
12,20-29,female,white,254.52701231892857,35.946083068847656
12,"{'0-2': 7.174133287435325e-07, '3-9': 0.003025682053703349, '10-19': 9.66678261756897, '20-29': 89.23638463020325, '30-39': 1.0922711342573166, '40-49': 0.0015362631529569626, '50-59': 1.2087723710862974e-06, '60-69': 1.8091080022930583e-08, '70+': 4.258856288463786e-10}","{'male': 0.007793034455971792, 'female': 99.99220371246338}","{'white': 73.97630214691162, 'black': 0.04143182886764407, 'latino hispanic': 7.68200010061264, 'asian': 0.044755422277376056, 'indian': 0.4930378869175911, 'middle eastern': 17.762471735477448}",,
13,30-39,male,white,178.44326829555663,44.183349609375
13,"{'0-2': 0.0004491896561376052, '3-9': 0.0016434019926236942, '10-19': 0.025824279873631895, '20-29': 3.4330710768699646, '30-39': 52.802008390426636, '40-49': 42.54695177078247, '50-59': 1.1780114844441414, '60-69': 0.011855662160087377, '70+': 0.0001895650598271459}","{'male': 99.90164637565613, 'female': 0.09835704695433378}","{'white': 67.179274559021, 'black': 0.010460555495228618, 'latino hispanic': 15.735769271850586, 'asian': 0.03850363427773118, 'indian': 2.401711791753769, 'middle eastern': 14.634276926517487}",,
14,20-29,male,indian,157.54364474646383,48.691749572753906
14,"{'0-2': 5.0891958380816504e-05, '3-9': 0.011080734111601487, '10-19': 3.8144517689943314, '20-29': 68.00243258476257, '30-39': 27.53615379333496, '40-49': 0.6326011847704649, '50-59': 0.003184210800100118, '60-69': 5.7981594636657974e-05, '70+': 9.288461555456706e-07}","{'male': 99.99668598175049, 'female': 0.003312832268420607}","{'white': 2.867826260626316, 'black': 2.737034671008587, 'latino hispanic': 26.169496774673462, 'asian': 0.029470532899722457, 'indian': 60.22521257400513, 'middle eastern': 7.970966398715973}",,
15,20-29,female,white,276.68212808202844,28.839111328125
15,"{'0-2': 9.742746165386507e-07, '3-9': 0.0018821301637217402, '10-19': 4.477057233452797, '20-29': 83.69813561439514, '30-39': 11.795058846473694, '40-49': 0.027805205900222063, '50-59': 5.162270895198162e-05, '60-69': 3.090401934358056e-07, '70+': 3.4100011009341458e-09}","{'male': 0.009258228237740695, 'female': 99.9907374382019}","{'white': 99.70819354057312, 'black': 0.0001770161475178611, 'latino hispanic': 0.08615088299848139, 'asian': 0.0011250733223278075, 'indian': 0.00024183252662624, 'middle eastern': 0.20410625729709864}",,
16,30-39,male,indian,248.48541204666319,41.384124755859375
16,"{'0-2': 0.0009058086106961127, '3-9': 0.020713938283734024, '10-19': 0.24264492094516754, '20-29': 24.334584176540375, '30-39': 66.90242886543274, '40-49': 8.408200740814209, '50-59': 0.08949650800786912, '60-69': 0.0010050791388493963, '70+': 1.5257849383942812e-05}","{'male': 99.994295835495, 'female': 0.00570864140172489}","{'white': 3.473763167858124, 'black': 1.62553358823061, 'latino hispanic': 35.86615025997162, 'asian': 0.013956832117401063, 'indian': 42.44350790977478, 'middle eastern': 16.577085852622986}",,
17,20-29,female,latino hispanic,254.4484230644788,41.56780242919922
17,"{'0-2': 6.385092632399392e-06, '3-9': 0.06186349201016128, '10-19': 25.930222868919373, '20-29': 72.98921942710876, '30-39': 1.015409454703331, '40-49': 0.00325651781167835, '50-59': 1.3495100859017839e-05, '60-69': 3.032079920473052e-07, '70+': 3.981596996549541e-09}","{'male': 0.005621245509246364, 'female': 99.99437928199768}","{'white': 1.577925682067871, 'black': 13.73712569475174, 'latino hispanic': 62.17896342277527, 'asian': 0.07653026259504259, 'indian': 21.976476907730103, 'middle eastern': 0.45297350734472275}",,
18,20-29,female,latino hispanic,130.862523283024,71.72527313232422
18,"{'0-2': 1.2924357406518538e-05, '3-9': 0.001104607326851692, '10-19': 1.1442264541983604, '20-29': 72.6031482219696, '30-39': 25.655341148376465, '40-49': 0.5932483822107315, '50-59': 0.002889989445975516, '60-69': 2.674022994142433e-05, '70+': 1.841416685799402e-07}","{'male': 0.006393472722265869, 'female': 99.9936044216156}","{'white': 16.306838393211365, 'black': 0.5598095711320639, 'latino hispanic': 70.81913352012634, 'asian': 0.3287238534539938, 'indian': 4.367546364665031, 'middle eastern': 7.617947459220886}",,
19,40-49,male,white,245.29370150902773,50.722503662109375
19,"{'0-2': 0.0002492149178578984, '3-9': 0.00025043186724360567, '10-19': 0.0038050944567658007, '20-29': 0.40791556239128113, '30-39': 13.087032735347748, '40-49': 51.20490789413452, '50-59': 33.94702970981598, '60-69': 1.3183465227484703, '70+': 0.030458063702099025}","{'male': 99.99979734420776, 'female': 0.00020280986063880846}","{'white': 60.21651029586792, 'black': 5.733611807227135, 'latino hispanic': 17.47775375843048, 'asian': 0.024292698071803898, 'indian': 8.751174807548523, 'middle eastern': 7.796654105186462}",,
20,20-29,male,white,211.1492363235065,55.91850280761719
20,"{'0-2': 0.00044838884605269413, '3-9': 0.052029412472620606, '10-19': 3.5113144665956497, '20-29': 57.053232192993164, '30-39': 37.2580349445343, '40-49': 2.085825242102146, '50-59': 0.038252086960710585, '60-69': 0.0008293000064441003, '70+': 3.599537876652903e-05}","{'male': 88.97632360458374, 'female': 11.0236756503582}","{'white': 92.5616443157196, 'black': 0.0033751428418327123, 'latino hispanic': 6.029761955142021, 'asian': 0.15751790488138795, 'indian': 0.1455550780519843, 'middle eastern': 1.1021417565643787}",,
21,20-29,male,latino hispanic,278.01618657912707,44.5159912109375
21,"{'0-2': 0.1910761115141213, '3-9': 24.80800300836563, '10-19': 21.28719836473465, '20-29': 39.65805172920227, '30-39': 12.73631900548935, '40-49': 1.2648236937820911, '50-59': 0.04568459407892078, '60-69': 0.007588289008708671, '70+': 0.0012548403901746497}","{'male': 99.01548027992249, 'female': 0.9845161810517311}","{'white': 12.703557312488556, 'black': 3.193693235516548, 'latino hispanic': 41.97840988636017, 'asian': 32.199451327323914, 'indian': 6.2980055809021, 'middle eastern': 3.626888617873192}",,
22,20-29,female,white,212.24985276791125,44.76890563964844
22,"{'0-2': 2.1220800761057035e-05, '3-9': 0.029521298711188138, '10-19': 12.853582203388214, '20-29': 84.99764204025269, '30-39': 2.1057596430182457, '40-49': 0.013401216710917652, '50-59': 6.488770054602355e-05, '60-69': 2.1296328256426023e-06, '70+': 4.0349404373252185e-08}","{'male': 0.22445449139922857, 'female': 99.77554678916931}","{'white': 73.37285280227661, 'black': 0.014208804350346327, 'latino hispanic': 13.907179236412048, 'asian': 0.21148885134607553, 'indian': 0.7810389623045921, 'middle eastern': 11.7132268846035}",,
23,20-29,male,black,233.20591759215716,44.70720291137695
23,"{'0-2': 3.770215251108766e-07, '3-9': 0.0001471880523240543, '10-19': 0.18844215665012598, '20-29': 51.88525915145874, '30-39': 46.3090181350708, '40-49': 1.6105933114886284, '50-59': 0.00651118389214389, '60-69': 2.309921285359451e-05, '70+': 4.655705154732459e-07}","{'male': 99.99988079071045, 'female': 0.00012135652696088073}","{'white': 5.630879584828108e-06, 'black': 99.98559951782227, 'latino hispanic': 0.00010822838021340431, 'asian': 5.242215994627486e-07, 'indian': 0.01428102987119928, 'middle eastern': 1.0710271425296014e-05}",,
24,50-59,male,latino hispanic,232.13142829009607,49.46708679199219
24,"{'0-2': 0.01046843608492054, '3-9': 0.00579550105612725, '10-19': 0.0629414280410856, '20-29': 0.02439301024423912, '30-39': 0.3327619982883334, '40-49': 7.318449020385742, '50-59': 81.46609663963318, '60-69': 10.688335448503494, '70+': 0.09075408452190459}","{'male': 99.99146461486816, 'female': 0.008533453365089372}","{'white': 19.3623885512352, 'black': 0.4218729678541422, 'latino hispanic': 68.50332617759705, 'asian': 0.04863114736508578, 'indian': 8.122053742408752, 'middle eastern': 3.541727364063263}",,
25,20-29,female,indian,276.84833393033085,42.166709899902344
25,"{'0-2': 9.999756400702609e-06, '3-9': 0.0012507816791185178, '10-19': 0.6414038129150867, '20-29': 61.405354738235474, '30-39': 35.497310757637024, '40-49': 2.4151816964149475, '50-59': 0.039108426426537335, '60-69': 0.0003744220066437265, '70+': 3.063228959376829e-06}","{'male': 0.0031759500416228548, 'female': 99.99682903289795}","{'white': 0.6612380500882864, 'black': 0.35501744132488966, 'latino hispanic': 16.15094393491745, 'asian': 0.0026989013349520974, 'indian': 82.46200680732727, 'middle eastern': 0.36809558514505625}",,
26,20-29,female,white,176.70880000724355,57.16514587402344
26,"{'0-2': 2.9009635582610827e-06, '3-9': 0.06876612897031009, '10-19': 32.969531416893005, '20-29': 66.34031534194946, '30-39': 0.620470242574811, '40-49': 0.0009091271749639418, '50-59': 4.5911687784894184e-07, '60-69': 8.57277165922099e-09, '70+': 2.355290875527549e-10}","{'male': 1.0678485967218876, 'female': 98.93215298652649}","{'white': 88.13284635543823, 'black': 0.004935051765642129, 'latino hispanic': 7.799191027879715, 'asian': 0.003908103826688603, 'indian': 0.076494604581967, 'middle eastern': 3.982606902718544}",,
27,20-29,male,indian,277.99640285442547,39.16130065917969
27,"{'0-2': 0.0005767240963905351, '3-9': 0.05834579933434725, '10-19': 3.8867775350809097, '20-29': 49.24399256706238, '30-39': 43.62555146217346, '40-49': 3.1416431069374084, '50-59': 0.04195997316855937, '60-69': 0.0011132487998111174, '70+': 4.2128232280447264e-05}","{'male': 99.80686902999878, 'female': 0.19313113298267126}","{'white': 0.02225033240392804, 'black': 13.365782797336578, 'latino hispanic': 1.994173787534237, 'asian': 0.052025297190994024, 'indian': 84.48439240455627, 'middle eastern': 0.08137470576912165}",,
28,30-39,female,white,259.268200904006,40.57645797729492
28,"{'0-2': 0.00020085324194951681, '3-9': 0.0014606541299144737, '10-19': 0.08111225324682891, '20-29': 15.056055784225464, '30-39': 61.773520708084106, '40-49': 21.02368474006653, '50-59': 2.012709155678749, '60-69': 0.05078607355244458, '70+': 0.0004792728759639431}","{'male': 0.01605496945558116, 'female': 99.98394250869751}","{'white': 56.61501884460449, 'black': 0.39020220283418894, 'latino hispanic': 28.192028403282166, 'asian': 0.20436448976397514, 'indian': 6.290225684642792, 'middle eastern': 8.308164775371552}",,
29,30-39,male,middle eastern,224.01785643113365,49.84426498413086
29,"{'0-2': 0.0005956867880740901, '3-9': 0.0019618515580077656, '10-19': 0.022704277944285423, '20-29': 2.492411993443966, '30-39': 57.6499879360199, '40-49': 38.96511197090149, '50-59': 0.8597264997661114, '60-69': 0.007345183257712051, '70+': 0.00015041741789900698}","{'male': 99.96042251586914, 'female': 0.039577638381160796}","{'white': 13.124328851699829, 'black': 0.03091069811489433, 'latino hispanic': 3.920266777276993, 'asian': 0.001252280253538629, 'indian': 21.36031836271286, 'middle eastern': 61.56291961669922}",,
30,30-39,male,white,227.26636354727023,44.7052001953125
30,"{'0-2': 1.1715577841187041e-05, '3-9': 0.0001492863134444633, '10-19': 0.07748714415356517, '20-29': 46.139419078826904, '30-39': 52.35355496406555, '40-49': 1.4221468940377235, '50-59': 0.007174134952947497, '60-69': 5.3718684966952424e-05, '70+': 8.774414972378963e-07}","{'male': 99.99920725822449, 'female': 0.0007925130375951994}","{'white': 72.5456178188324, 'black': 0.051703263306990266, 'latino hispanic': 6.747898459434509, 'asian': 0.008139314013533294, 'indian': 0.2520131878554821, 'middle eastern': 20.39462774991989}",,
31,20-29,female,middle eastern,264.8018126826174,34.0576171875
31,"{'0-2': 2.3545216887299603e-07, '3-9': 0.0013560327715822496, '10-19': 5.901060625910759, '20-29': 89.12681341171265, '30-39': 4.937915131449699, '40-49': 0.03279928059782833, '50-59': 5.1392657951510046e-05, '60-69': 5.859524865314825e-07, '70+': 1.1588886794644537e-08}","{'male': 0.0015337540389737114, 'female': 99.99846816062927}","{'white': 4.1209980845451355, 'black': 0.0017976890376303345, 'latino hispanic': 1.6927065327763557, 'asian': 0.0028565873435582034, 'indian': 0.4190778825432062, 'middle eastern': 93.76257061958313}",,
32,20-29,female,indian,242.5633937757303,46.896934509277344
32,"{'0-2': 2.8462082468649896e-05, '3-9': 0.25809609796851873, '10-19': 47.22389876842499, '20-29': 51.555925607681274, '30-39': 0.9582896716892719, '40-49': 0.0037460908060893416, '50-59': 1.2362826851131103e-05, '60-69': 4.072562731494145e-07, '70+': 5.8901841737402094e-09}","{'male': 0.043388307676650584, 'female': 99.95660781860352}","{'white': 0.4034436773508787, 'black': 2.695285901427269, 'latino hispanic': 37.05849647521973, 'asian': 0.11362942168489099, 'indian': 58.43943953514099, 'middle eastern': 1.2897091917693615}",,
33,30-39,male,white,248.71268564349506,46.34284973144531
33,"{'0-2': 2.896792636875034e-05, '3-9': 0.00045410083657770883, '10-19': 0.01915976026793942, '20-29': 24.200831353664398, '30-39': 73.68476986885071, '40-49': 2.092152088880539, '50-59': 0.0025802339223446324, '60-69': 1.6770913191521686e-05, '70+': 3.26768456737625e-07}","{'male': 99.98717904090881, 'female': 0.01282083394471556}","{'white': 80.52274584770203, 'black': 0.0020784224034287035, 'latino hispanic': 1.150194276124239, 'asian': 0.0028182295864098705, 'indian': 0.13201709371060133, 'middle eastern': 18.190142512321472}",,
34,20-29,male,indian,212.90608258102912,36.38277053833008
34,"{'0-2': 1.9045845078835555e-05, '3-9': 0.0005872621386515675, '10-19': 0.047697508125565946, '20-29': 50.34219026565552, '30-39': 48.859333992004395, '40-49': 0.7495692931115627, '50-59': 0.000597937696511508, '60-69': 5.10603221925976e-06, '70+': 6.335444391325495e-08}","{'male': 99.9992311000824, 'female': 0.0007644682227692101}","{'white': 10.275846719741821, 'black': 0.009244926332030445, 'latino hispanic': 10.760412365198135, 'asian': 0.0016587568097747862, 'indian': 42.23499894142151, 'middle eastern': 36.717844009399414}",,
35,20-29,female,latino hispanic,215.1278689523977,36.0595703125
35,"{'0-2': 3.59095331248227e-06, '3-9': 0.03213315503671765, '10-19': 14.299249649047852, '20-29': 85.04968285560608, '30-39': 0.6182734854519367, '40-49': 0.0006475668214989128, '50-59': 4.6547676824104656e-07, '60-69': 1.3827441969205267e-08, '70+': 2.0082711535418518e-10}","{'male': 0.011662430188152939, 'female': 99.98834133148193}","{'white': 8.653111755847931, 'black': 0.031644219416193664, 'latino hispanic': 54.263824224472046, 'asian': 0.6436082534492016, 'indian': 31.262359023094177, 'middle eastern': 5.145448446273804}",,
36,30-39,male,white,221.00000000000003,48.537254333496094
