Image_No,age,gender,race,center_dist,space
10,"{'0-2': 2.43240450004123e-07, '3-9': 0.10964643443003297, '10-19': 58.62613320350647, '20-29': 41.210344433784485, '30-39': 0.05386078846640885, '40-49': 1.7516377681658923e-05, '50-59': 4.880988321853685e-09, '60-69': 1.3670256333170316e-10, '70+': 1.483955814403793e-12}","{'male': 0.0004021784206997836, 'female': 99.99959468841553}","{'white': 0.019438480376265943, 'black': 0.004640999759430997, 'latino hispanic': 0.5183011293411255, 'asian': 0.002199068694608286, 'indian': 99.38090443611145, 'middle eastern': 0.07451642886735499}",,
11,10-19,female,indian,21.023796041628636,88.31472396850586
11,"{'0-2': 1.4257386382610093e-07, '3-9': 0.16525040846318007, '10-19': 82.04920887947083, '20-29': 17.78196096420288, '30-39': 0.0035800661862595007, '40-49': 8.011493690673888e-07, '50-59': 1.5525404312849433e-10, '60-69': 8.709373012279892e-12, '70+': 1.6602856911765071e-13}","{'male': 0.0027658419639919885, 'female': 99.99723434448242}","{'white': 4.333038255572319, 'black': 0.0026752475605462678, 'latino hispanic': 25.545555353164673, 'asian': 7.017651200294495, 'indian': 50.37956237792969, 'middle eastern': 12.721514701843262}",,
12,20-29,male,middle eastern,85.0,80.859375
12,"{'0-2': 2.5410349735466298e-05, '3-9': 0.005736557068303227, '10-19': 0.8064059540629387, '20-29': 79.93797063827515, '30-39': 18.865184485912323, '40-49': 0.3842093050479889, '50-59': 0.00045166516429162584, '60-69': 1.678301373431168e-05, '70+': 6.854051104454584e-07}","{'male': 99.99848008155823, 'female': 0.001527112181065604}","{'white': 0.020588471670635045, 'black': 0.0036701778299175203, 'latino hispanic': 0.19132473971694708, 'asian': 9.436907930648886e-05, 'indian': 11.476347595453262, 'middle eastern': 88.30797076225281}",,
13,10-19,male,middle eastern,23.706539182259394,77.008056640625
13,"{'0-2': 0.000107542098248814, '3-9': 0.16953323502093554, '10-19': 60.60859560966492, '20-29': 38.566261529922485, '30-39': 0.6434154231101274, '40-49': 0.012008249905193225, '50-59': 7.225058880067081e-05, '60-69': 7.488555553436527e-06, '70+': 2.6933550945074103e-07}","{'male': 99.45412278175354, 'female': 0.5458763800561428}","{'white': 1.0261542163789272, 'black': 0.0223005234147422, 'latino hispanic': 3.254805877804756, 'asian': 0.00946566797210835, 'indian': 2.090752497315407, 'middle eastern': 93.59652400016785}",,
14,20-29,male,latino hispanic,18.38477631085024,94.32125091552734
14,"{'0-2': 7.814702485120506e-05, '3-9': 0.059989013243466616, '10-19': 18.97842437028885, '20-29': 79.7708511352539, '30-39': 1.1872382834553719, '40-49': 0.00341620652761776, '50-59': 4.446631862720096e-06, '60-69': 3.7110483575020226e-07, '70+': 9.844667442360233e-09}","{'male': 99.98692274093628, 'female': 0.013073983427602798}","{'white': 4.71472255885601, 'black': 0.13418573653325438, 'latino hispanic': 47.97291159629822, 'asian': 26.026490330696106, 'indian': 18.05989295244217, 'middle eastern': 3.0918044969439507}",,
15,20-29,male,asian,15.132745950421555,82.19718933105469
15,"{'0-2': 9.902187514398975e-06, '3-9': 0.00392674446629826, '10-19': 12.108565121889114, '20-29': 86.49661540985107, '30-39': 1.3883322477340698, '40-49': 0.0025423825718462467, '50-59': 5.41915099461221e-06, '60-69': 4.950862386721155e-07, '70+': 7.527035938981186e-09}","{'male': 99.99879002571106, 'female': 0.0012076190614607185}","{'white': 3.2233387231826782, 'black': 0.009210567077388987, 'latino hispanic': 4.5486122369766235, 'asian': 91.18724465370178, 'indian': 0.15239098574966192, 'middle eastern': 0.8791978470981121}",,
16,20-29,female,asian,44.598206241955516,81.4204216003418
16,"{'0-2': 4.8874877478510825e-06, '3-9': 0.21842611022293568, '10-19': 48.103317618370056, '20-29': 51.61086916923523, '30-39': 0.06733581540174782, '40-49': 4.1330920907967084e-05, '50-59': 2.6535151853579464e-08, '60-69': 2.091650637414677e-09, '70+': 5.4068267875059806e-11}","{'male': 0.003265087434556335, 'female': 99.99673962593079}","{'white': 5.841250345110893, 'black': 0.0002454619334457675, 'latino hispanic': 2.4757519364356995, 'asian': 91.09559655189514, 'indian': 0.17898563528433442, 'middle eastern': 0.40816995315253735}",,
17,20-29,male,indian,181.1767093199344,62.87956237792969
17,"{'0-2': 4.320591173723187e-06, '3-9': 0.004498293856158853, '10-19': 2.4233469739556313, '20-29': 88.7709379196167, '30-39': 8.778383582830429, '40-49': 0.022820266894996166, '50-59': 1.2789919878741784e-05, '60-69': 2.956287215027942e-07, '70+': 4.511024886966197e-09}","{'male': 99.9974012374878, 'female': 0.00260102933680173}","{'white': 5.535916984081268, 'black': 0.5695563741028309, 'latino hispanic': 21.980972588062286, 'asian': 0.011307363456580788, 'indian': 67.61247515678406, 'middle eastern': 4.289771616458893}",,
18,10-19,female,asian,123.91125856838029,73.5280990600586
18,"{'0-2': 0.00019806948330369778, '3-9': 5.425681173801422, '10-19': 69.94306445121765, '20-29': 24.483981728553772, '30-39': 0.1465338747948408, '40-49': 0.0005406976924859919, '50-59': 1.5283459831039181e-06, '60-69': 1.7448307243483896e-07, '70+': 7.08938741045273e-09}","{'male': 0.0651913695037365, 'female': 99.93480443954468}","{'white': 9.10537987947464, 'black': 0.0013991952073411085, 'latino hispanic': 33.257654309272766, 'asian': 43.260109424591064, 'indian': 11.366614699363708, 'middle eastern': 3.0088432133197784}",,
19,20-29,female,indian,17.720045146669353,94.69566345214844
19,"{'0-2': 4.693092137131316e-06, '3-9': 0.10677891550585628, '10-19': 23.160409927368164, '20-29': 75.39282441139221, '30-39': 1.3364876620471478, '40-49': 0.0034882352338172495, '50-59': 4.5896342726337025e-06, '60-69': 9.879433937598492e-08, '70+': 1.5227121646921304e-09}","{'male': 0.009694490290712565, 'female': 99.99030232429504}","{'white': 1.7955981194972992, 'black': 0.3737813327461481, 'latino hispanic': 32.10427463054657, 'asian': 0.013348276843316853, 'indian': 63.60653042793274, 'middle eastern': 2.1064728498458862}",,
20,20-29,female,indian,94.36630754670864,63.71126174926758
20,"{'0-2': 2.0861450877873722e-05, '3-9': 0.34159121569246054, '10-19': 36.0394150018692, '20-29': 62.86407709121704, '30-39': 0.7516996935009956, '40-49': 0.0031882791518000886, '50-59': 8.143604901533763e-06, '60-69': 3.3848170932770927e-07, '70+': 6.659632567629359e-09}","{'male': 0.8300665766000748, 'female': 99.16993379592896}","{'white': 0.008933357457863167, 'black': 0.0017516380466986448, 'latino hispanic': 0.1080204383470118, 'asian': 0.000507608365296619, 'indian': 99.74216222763062, 'middle eastern': 0.1386295072734356}",,
21,20-29,male,white,98.00510190801295,78.3167839050293
21,"{'0-2': 8.057448042109172e-06, '3-9': 0.010065386595670134, '10-19': 3.1644046306610107, '20-29': 94.72869038581848, '30-39': 2.093663439154625, '40-49': 0.003171046046190895, '50-59': 1.5623649929352723e-06, '60-69': 4.1182626753233365e-08, '70+': 1.47421571478068e-09}","{'male': 99.99685883522034, 'female': 0.003144969741697423}","{'white': 59.86849069595337, 'black': 0.12179338373243809, 'latino hispanic': 13.44134658575058, 'asian': 0.003164196095895022, 'indian': 5.498741939663887, 'middle eastern': 21.066462993621826}",,
22,20-29,female,indian,1.0,91.55025482177734
22,"{'0-2': 4.1467251854498954e-07, '3-9': 0.09040404111146927, '10-19': 35.35759747028351, '20-29': 64.38114643096924, '30-39': 0.17072369810193777, '40-49': 0.00012540932630145107, '50-59': 5.406989300738019e-08, '60-69': 1.3672685379717553e-09, '70+': 1.9726536756078245e-11}","{'male': 0.016468996182084084, 'female': 99.98353123664856}","{'white': 1.544587966054678, 'black': 0.0031387364288093522, 'latino hispanic': 5.07410354912281, 'asian': 0.016669808246660978, 'indian': 63.085776567459106, 'middle eastern': 30.275720357894897}",,
23,10-19,male,indian,11.0,96.87795639038086
