Image_No,age,gender,race,emotion,center_dist,space
11,31,"{'male': 17.60520488023758, 'female': 82.39480257034302}","{'asian': 99.37712550163269, 'indian': 0.3423575311899185, 'black': 0.0011254122000536881, 'white': 0.009767802112037316, 'middle eastern': 2.342616056694169e-05, 'latino hispanic': 0.2696002135053277}","{'angry': 0.09370218613184988, 'disgust': 9.939002509895545e-07, 'fear': 0.007205247675301507, 'happy': 99.73243474960327, 'sad': 0.001143058943853248, 'surprise': 0.002964442319353111, 'neutral': 0.16255256487056613}",,
12,37,female,white,neutral,14.0356688476182,81.45333333333333
12,37,"{'male': 0.011663183977361768, 'female': 99.98834133148193}","{'asian': 3.8972703081771995e-06, 'indian': 1.7560938386128153e-07, 'black': 9.592904319477282e-10, 'white': 99.99136924846539, 'middle eastern': 0.002229147783347018, 'latino hispanic': 0.006390054443220637}","{'angry': 4.001152515411377, 'disgust': 0.006858072447357699, 'fear': 6.7000411450862885, 'happy': 0.5100219044834375, 'sad': 20.218533277511597, 'surprise': 0.012023156887153164, 'neutral': 68.55137348175049}",,
13,36,male,white,sad,1.0,98.125
13,36,"{'male': 79.75773811340332, 'female': 20.24225741624832}","{'asian': 5.858084186911583, 'indian': 0.09163432405330241, 'black': 0.1974293263629079, 'white': 89.41550850868225, 'middle eastern': 2.598375268280506, 'latino hispanic': 1.8389686942100525}","{'angry': 0.0009273750947613735, 'disgust': 1.8453431491205485e-09, 'fear': 21.514274179935455, 'happy': 0.31899979803711176, 'sad': 78.16192507743835, 'surprise': 3.0560804997747937e-07, 'neutral': 0.0038741767639294267}",,
14,33,female,middle eastern,neutral,21.93171219946131,69.59375
14,33,"{'male': 0.0005643195891025243, 'female': 99.99943971633911}","{'asian': 0.03034579858649522, 'indian': 2.1951712667942047, 'black': 0.025614109472371638, 'white': 20.273172855377197, 'middle eastern': 70.35885453224182, 'latino hispanic': 7.116843014955521}","{'angry': 1.8156087026000023, 'disgust': 1.9688930308348063e-05, 'fear': 0.01060448557836935, 'happy': 24.090184271335602, 'sad': 1.7553359270095825, 'surprise': 0.0025578849090379663, 'neutral': 72.32569456100464}",,
15,27,female,white,happy,35.11409973215888,44.8875
15,27,"{'male': 0.004874418300460093, 'female': 99.99512434005737}","{'asian': 0.24148401846641412, 'indian': 0.15529602294689554, 'black': 0.020936110897372566, 'white': 80.75410012925268, 'middle eastern': 5.129414357508085, 'latino hispanic': 13.698767942116733}","{'angry': 1.8677981206419325, 'disgust': 0.036135815083622624, 'fear': 0.4229566975138548, 'happy': 67.22489390076471, 'sad': 2.0049552837067504, 'surprise': 0.43299593457628077, 'neutral': 28.010254739492567}",,
16,33,female,white,sad,30.01666203960727,26.69987546699876
16,33,"{'male': 46.350136399269104, 'female': 53.64985466003418}","{'asian': 0.0635464425348261, 'indian': 0.21776677772947814, 'black': 0.05637257619231031, 'white': 89.7187960483079, 'middle eastern': 5.925068297974074, 'latino hispanic': 4.018444833940883}","{'angry': 0.0017052770999725908, 'disgust': 5.847965760424933e-15, 'fear': 0.8828624151647091, 'happy': 4.428640180270671e-10, 'sad': 98.27035665512085, 'surprise': 9.72197244041538e-12, 'neutral': 0.8450720459222794}",,
17,30,male,white,neutral,34.132096331752024,49.958333333333336
17,30,"{'male': 99.12420511245728, 'female': 0.8757988922297955}","{'asian': 1.8261776639494354e-10, 'indian': 8.493990016553155e-11, 'black': 1.366993333409654e-13, 'white': 99.99992847442627, 'middle eastern': 4.224473286740249e-05, 'latino hispanic': 3.17615587164255e-05}","{'angry': 1.663651131093502, 'disgust': 5.074801734394896e-06, 'fear': 0.0861776468809694, 'happy': 1.1612478643655777, 'sad': 1.9588099792599678, 'surprise': 0.0040883387555368245, 'neutral': 95.12602090835571}",,
18,29,female,white,happy,17.204650534085253,58.01985981308411
