Image_No,age,gender,race,emotion,center_dist,space
11,29,"{'male': 99.99996423721313, 'female': 3.152552210394788e-05}","{'asian': 1.8083872273564339, 'indian': 5.746771767735481, 'black': 0.7855864241719246, 'white': 32.47517943382263, 'middle eastern': 18.885764479637146, 'latino hispanic': 40.29831290245056}","{'angry': 0.025340155005883575, 'disgust': 3.249336245742171e-08, 'fear': 0.005925337994407617, 'happy': 1.6918251136749847, 'sad': 0.30319419334749065, 'surprise': 0.00037627025965912667, 'neutral': 97.97333503087341}",,
12,29,male,middle eastern,neutral,8.0,93.56088638305664
12,29,"{'male': 99.99864101409912, 'female': 0.0013620287063531578}","{'asian': 0.002666554041529967, 'indian': 12.124727644010045, 'black': 0.0019110090990942738, 'white': 9.88380073808436, 'middle eastern': 71.37635179617118, 'latino hispanic': 6.610542929800923}","{'angry': 0.009695438925882887, 'disgust': 1.1940260603624365e-08, 'fear': 1.674214850319317, 'happy': 0.018197109959661065, 'sad': 3.7352504572421585, 'surprise': 0.021136896780469823, 'neutral': 94.54150763401435}",,
13,29,female,asian,neutral,16.278820596099706,91.75643920898438
13,29,"{'male': 6.56214581340464e-05, 'female': 99.99992847442627}","{'asian': 98.54791181708434, 'indian': 0.11160308328904708, 'black': 0.0019677239307261413, 'white': 0.058542755438505956, 'middle eastern': 0.0013369137602858606, 'latino hispanic': 1.2786359864609258}","{'angry': 0.001899219431774772, 'disgust': 2.2241978707525953e-10, 'fear': 0.07264725565803118, 'happy': 0.19696722758170696, 'sad': 0.03587376404725182, 'surprise': 0.0003354841682926971, 'neutral': 99.6922790637349}",,
14,31,female,indian,neutral,29.27456233660889,73.66218566894531
14,31,"{'male': 0.00016770454749348573, 'female': 99.99983310699463}","{'asian': 1.4255094341933727, 'indian': 50.70481896400452, 'black': 0.9483061730861664, 'white': 3.396350145339966, 'middle eastern': 3.850290924310684, 'latino hispanic': 39.67472314834595}","{'angry': 1.9674384218991793e-07, 'disgust': 5.820445992855344e-18, 'fear': 1.7449265506285653e-07, 'happy': 0.00020648401272021827, 'sad': 7.886116774307905e-05, 'surprise': 8.096879072332619e-05, 'neutral': 99.99963045124645}",,
15,32,male,asian,neutral,33.54101966249685,81.13393783569336
15,32,"{'male': 99.95782971382141, 'female': 0.04217604000587016}","{'asian': 99.64649079123085, 'indian': 0.17035265770048844, 'black': 1.195874475227201e-05, 'white': 0.004148578474888599, 'middle eastern': 2.788476282883568e-07, 'latino hispanic': 0.17900096620997585}","{'angry': 1.123847304480666e-06, 'disgust': 1.783125645443786e-19, 'fear': 0.005768708413650597, 'happy': 7.622935723487207e-10, 'sad': 0.004359943237189546, 'surprise': 5.3315807640170327e-11, 'neutral': 99.98987317024906}",,
16,23,male,white,angry,17.029386365926403,95.80860137939453
