Image_No,age,gender,race,emotion,center_dist,space
11,32,"{'male': 99.9929666519165, 'female': 0.0070351547037716955}","{'asian': 34.58178639411926, 'indian': 8.1961989402771, 'black': 5.775361135601997, 'white': 9.644383937120438, 'middle eastern': 5.004578083753586, 'latino hispanic': 36.797693371772766}","{'angry': 3.769184337184443e-06, 'disgust': 3.561941915131517e-17, 'fear': 3.797484096344228e-07, 'happy': 99.9983191492177, 'sad': 5.506443088998587e-07, 'surprise': 0.00030221591295044695, 'neutral': 0.0013663474609621569}",,
12,34,male,black,happy,26.476404589747453,47.01728820800781
12,34,"{'male': 99.98160004615784, 'female': 0.01840788754634559}","{'asian': 1.428761521253502e-20, 'indian': 1.9549913333420215e-16, 'black': 100.0, 'white': 4.7239585834122384e-27, 'middle eastern': 2.8382718479926353e-25, 'latino hispanic': 7.05362757718109e-18}","{'angry': 0.0002500894197510206, 'disgust': 1.705910790008115e-15, 'fear': 7.204053759785056e-10, 'happy': 98.00006747245789, 'sad': 3.7651471274102732e-06, 'surprise': 0.004109437941224314, 'neutral': 1.9955670461058617}",,
13,31,female,latino hispanic,happy,179.2261141686668,28.5858154296875
13,31,"{'male': 1.1688216589391232, 'female': 98.83118271827698}","{'asian': 0.2312609925866127, 'indian': 0.6123541854321957, 'black': 0.09307374712079763, 'white': 42.687252163887024, 'middle eastern': 3.1208060681819916, 'latino hispanic': 53.25525403022766}","{'angry': 9.351890930626518e-08, 'disgust': 1.2966844879991634e-13, 'fear': 7.075365715376374e-08, 'happy': 99.83602761244939, 'sad': 1.3036334034358503e-05, 'surprise': 0.0001636744384327976, 'neutral': 0.16380008122250922}",,
14,33,male,white,happy,105.38500842150178,56.0760498046875
14,33,"{'male': 99.98108744621277, 'female': 0.01891852734843269}","{'asian': 0.0809968973044306, 'indian': 0.45263771899044514, 'black': 0.01470907882321626, 'white': 67.88614392280579, 'middle eastern': 20.922468602657318, 'latino hispanic': 10.643045604228973}","{'angry': 0.011923567928009058, 'disgust': 6.839824947768919e-09, 'fear': 0.00199332765135725, 'happy': 98.01066505972535, 'sad': 1.3772250295076624e-05, 'surprise': 3.0773110340075217e-05, 'neutral': 1.975373482726424}",,
15,31,female,white,happy,138.29316685939332,43.84307861328125
15,31,"{'male': 0.0025584122340660542, 'female': 99.99743700027466}","{'asian': 0.09653386659920216, 'indian': 0.3955497406423092, 'black': 0.0073864677688106894, 'white': 76.2470543384552, 'middle eastern': 12.455621361732483, 'latino hispanic': 10.797859728336334}","{'angry': 2.3672876809863186e-11, 'disgust': 2.0083523168827124e-29, 'fear': 7.91650359742568e-15, 'happy': 100.0, 'sad': 2.165033343576317e-10, 'surprise': 1.6297162230838325e-08, 'neutral': 5.644660628668918e-11}",,
16,31,female,white,happy,95.34149149242421,45.15228271484375
16,31,"{'male': 0.10268599726259708, 'female': 99.89731311798096}","{'asian': 0.0008366474415551662, 'indian': 0.003022060267442172, 'black': 4.368002682874387e-05, 'white': 97.941190249778, 'middle eastern': 1.0431453273421136, 'latino hispanic': 1.0117595740545304}","{'angry': 0.008096612145891413, 'disgust': 1.4229915912267188e-06, 'fear': 0.08251899853348732, 'happy': 50.54853558540344, 'sad': 0.07056904723867774, 'surprise': 0.0838099280372262, 'neutral': 49.20646846294403}",,
