Image_No,age,gender,race,emotion,center_dist,space
11,30,"{'male': 3.794227154685359e-05, 'female': 99.99996423721313}","{'asian': 10.368876904249191, 'indian': 18.037205934524536, 'black': 1.3416838832199574, 'white': 18.531176447868347, 'middle eastern': 25.797122716903687, 'latino hispanic': 25.92393457889557}","{'angry': 0.007846695890764636, 'disgust': 4.659790053439364e-09, 'fear': 0.14241972870219008, 'happy': 0.0003336892689391608, 'sad': 1.0154113825665256, 'surprise': 3.0647560477485014e-05, 'neutral': 98.8339544732625}",,
12,31,male,middle eastern,neutral,85.0,80.859375
12,31,"{'male': 99.99994039535522, 'female': 6.507497687380237e-05}","{'asian': 2.759093931103962e-06, 'indian': 2.4134792387485504, 'black': 8.345646733687317e-05, 'white': 0.2734818961471319, 'middle eastern': 96.97847366333008, 'latino hispanic': 0.33448031172156334}","{'angry': 0.007971211016410962, 'disgust': 4.3078775681208714e-11, 'fear': 0.027567704091779888, 'happy': 0.005306432649376802, 'sad': 0.0482734089018777, 'surprise': 2.3942268967402924e-05, 'neutral': 99.9108612537384}",,
13,23,male,middle eastern,neutral,23.706539182259394,77.008056640625
13,23,"{'male': 99.98856782913208, 'female': 0.011425456614233553}","{'asian': 0.00024408452645729994, 'indian': 1.035199873149395, 'black': 0.00010114220003742957, 'white': 0.7573286537081003, 'middle eastern': 96.68643474578857, 'latino hispanic': 1.5206950716674328}","{'angry': 0.08751691784709692, 'disgust': 1.3988889158156326e-06, 'fear': 7.71370455622673, 'happy': 0.004645841181627475, 'sad': 22.1727192401886, 'surprise': 0.14684804482385516, 'neutral': 69.8745608329773}",,
14,24,male,asian,neutral,18.38477631085024,94.32125091552734
14,24,"{'male': 99.99761581420898, 'female': 0.0023899659936432727}","{'asian': 65.60714840888977, 'indian': 11.660260707139969, 'black': 2.7027007192373276, 'white': 0.2917978912591934, 'middle eastern': 0.048079315456561744, 'latino hispanic': 19.69001144170761}","{'angry': 0.000596359440426579, 'disgust': 2.5578154541324423e-14, 'fear': 4.650845532794676e-05, 'happy': 2.7583446135130294, 'sad': 0.011235502403296673, 'surprise': 0.00034591448426895264, 'neutral': 97.22943289455371}",,
15,31,male,asian,neutral,15.132745950421555,82.19718933105469
15,31,"{'male': 99.99949932098389, 'female': 0.000497809242006042}","{'asian': 97.80769931123848, 'indian': 1.0980084261601226, 'black': 0.009235578004575327, 'white': 0.28363065156374284, 'middle eastern': 0.013901804878577135, 'latino hispanic': 0.7875297687965493}","{'angry': 0.009292634786106646, 'disgust': 1.6217190923484281e-07, 'fear': 0.05213095573708415, 'happy': 0.13102027587592602, 'sad': 0.34044086933135986, 'surprise': 0.00037327617974369787, 'neutral': 99.46674108505249}",,
16,28,female,asian,neutral,44.598206241955516,81.4204216003418
16,28,"{'male': 0.013974077592138201, 'female': 99.98602867126465}","{'asian': 98.0286180973053, 'indian': 0.17823196249082685, 'black': 0.007692416693316773, 'white': 0.05345286917872727, 'middle eastern': 0.00275168422376737, 'latino hispanic': 1.7292536795139313}","{'angry': 0.0002480253135714401, 'disgust': 7.00581733585786e-14, 'fear': 0.006789790900234708, 'happy': 0.02952761891276353, 'sad': 0.007458036715224711, 'surprise': 1.5184098439913281e-06, 'neutral': 99.95597600674486}",,
17,29,male,latino hispanic,neutral,181.1767093199344,62.87956237792969
17,29,"{'male': 99.9882698059082, 'female': 0.011732676648534834}","{'asian': 1.5205636620521545, 'indian': 10.60185506939888, 'black': 0.6958187557756901, 'white': 23.941481113433838, 'middle eastern': 25.108614563941956, 'latino hispanic': 38.13167214393616}","{'angry': 1.3676295056939125, 'disgust': 1.666996957139233e-08, 'fear': 0.43865577317774296, 'happy': 0.00027383621272747405, 'sad': 2.010548673570156, 'surprise': 1.5070546055540035e-05, 'neutral': 96.18287682533264}",,
18,23,female,asian,happy,123.91125856838029,73.5280990600586
18,23,"{'male': 0.0662650098092854, 'female': 99.9337375164032}","{'asian': 68.35394501686096, 'indian': 0.9952470660209656, 'black': 0.051117700058966875, 'white': 0.39799935184419155, 'middle eastern': 0.02525782911106944, 'latino hispanic': 30.17643094062805}","{'angry': 1.6036906913541316e-05, 'disgust': 5.198574556941615e-09, 'fear': 0.000197171857507783, 'happy': 98.70330095291138, 'sad': 0.0013464449693856295, 'surprise': 0.004114243347430602, 'neutral': 1.2910294346511364}",,
19,30,female,white,happy,17.720045146669353,94.69566345214844
19,30,"{'male': 0.012268195860087872, 'female': 99.98773336410522}","{'asian': 0.04598188679665327, 'indian': 0.4115279298275709, 'black': 0.003875440961564891, 'white': 57.12050795555115, 'middle eastern': 11.81495115160942, 'latino hispanic': 30.603158473968506}","{'angry': 1.33149914705033e-10, 'disgust': 1.1762056514086415e-21, 'fear': 4.876835074859589e-14, 'happy': 94.40270066261292, 'sad': 1.8289330119825031e-09, 'surprise': 6.3822497509136156e-06, 'neutral': 5.597296729683876}",,
20,29,female,indian,happy,94.36630754670864,63.71126174926758
20,29,"{'male': 22.60681390762329, 'female': 77.39318609237671}","{'asian': 0.0906596309505403, 'indian': 85.12555956840515, 'black': 0.34774739760905504, 'white': 0.9378306567668915, 'middle eastern': 1.5038017183542252, 'latino hispanic': 11.994405835866928}","{'angry': 2.012437620897596e-06, 'disgust': 3.575570013124524e-13, 'fear': 0.0005337005678000416, 'happy': 97.26374777987625, 'sad': 0.00016425587179642604, 'surprise': 1.777521207047121e-05, 'neutral': 2.735525229808661}",,
21,26,male,white,happy,98.00510190801295,78.3167839050293
21,26,"{'male': 99.99955892562866, 'female': 0.0004422579422680428}","{'asian': 0.002200476148190492, 'indian': 0.007498951724389735, 'black': 0.00023110912453199928, 'white': 92.85261716215406, 'middle eastern': 1.970810394488526, 'latino hispanic': 5.166639144225223}","{'angry': 0.00015187682720352313, 'disgust': 1.9893501776446776e-09, 'fear': 0.0005239104211796075, 'happy': 79.90177869796753, 'sad': 0.002154883259208873, 'surprise': 0.04096035554539412, 'neutral': 20.054428279399872}",,
22,30,female,latino hispanic,neutral,1.0,91.55025482177734
22,30,"{'male': 0.0030978564609540626, 'female': 99.99690055847168}","{'asian': 0.7447580341249704, 'indian': 21.96279764175415, 'black': 0.2949817106127739, 'white': 14.189976453781128, 'middle eastern': 20.90795338153839, 'latino hispanic': 41.899535059928894}","{'angry': 3.748700549977002e-06, 'disgust': 1.170537196774481e-14, 'fear': 0.00019731428437808063, 'happy': 1.3730418402246869e-05, 'sad': 0.019970527500845492, 'surprise': 2.3709773699920333e-06, 'neutral': 99.97981190681458}",,
23,36,male,indian,neutral,11.0,96.87795639038086
23,36,"{'male': 99.93181228637695, 'female': 0.06818458787165582}","{'asian': 2.668602364874027, 'indian': 43.13931424256052, 'black': 2.5186773028181375, 'white': 8.62391269945578, 'middle eastern': 16.09157121727295, 'latino hispanic': 26.95792478072195}","{'angry': 7.211608869529299, 'disgust': 2.8725091574440376e-06, 'fear': 1.7213228253318564, 'happy': 0.9400769697175604, 'sad': 5.4944168325911065, 'surprise': 0.003811771102671838, 'neutral': 84.62875989846944}",,
24,26,female,asian,neutral,42.720018726587654,87.57705688476562
24,26,"{'male': 0.13279926497489214, 'female': 99.86720085144043}","{'asian': 56.202105057365, 'indian': 13.92096364027045, 'black': 13.609729028328003, 'white': 0.41308372881017497, 'middle eastern': 0.15810060791525887, 'latino hispanic': 15.696012419224525}","{'angry': 0.038354957359842956, 'disgust': 3.2563539765036235e-15, 'fear': 0.008884217822924256, 'happy': 0.00016991234588203952, 'sad': 0.043040726450271904, 'surprise': 0.0031117018806980923, 'neutral': 99.90643858909607}",,
25,32,male,middle eastern,neutral,150.00333329629711,63.465118408203125
