Image_No,age,gender,race,emotion,center_dist,space
11,36,"{'male': 0.059706467436626554, 'female': 99.94028806686401}","{'asian': 1.744469915952972e-07, 'indian': 3.837104398656313e-07, 'black': 7.136474153959152e-10, 'white': 99.95821118852959, 'middle eastern': 0.022047134107413546, 'latino hispanic': 0.019735651415620576}","{'angry': 4.33717190162497e-05, 'disgust': 9.277656864981054e-07, 'fear': 1.0989789851009846, 'happy': 53.0951201915741, 'sad': 14.789232611656189, 'surprise': 2.0631914310342836e-05, 'neutral': 31.016603112220764}",,
12,31,female,white,happy,254.52701231892857,35.946083068847656
12,31,"{'male': 37.2605174779892, 'female': 62.73948550224304}","{'asian': 0.47756404510867057, 'indian': 3.5211570088676205, 'black': 0.2496917900065434, 'white': 41.20889708889757, 'middle eastern': 37.22280714239989, 'latino hispanic': 17.319875381007744}","{'angry': 0.000589293313169037, 'disgust': 3.346932260228641e-05, 'fear': 17.021681368350983, 'happy': 46.3759183883667, 'sad': 0.21573880221694708, 'surprise': 0.12980703031644225, 'neutral': 36.256229877471924}",,
13,34,male,white,neutral,178.44326829555663,44.183349609375
13,34,"{'male': 99.99990463256836, 'female': 9.671389307186473e-05}","{'asian': 0.00748457241570577, 'indian': 0.3020287025719881, 'black': 0.004956908378517255, 'white': 55.967551469802856, 'middle eastern': 33.0465167760849, 'latino hispanic': 10.671460628509521}","{'angry': 1.0917806066572666, 'disgust': 2.6156417476386196e-06, 'fear': 3.0358145013451576, 'happy': 19.489775598049164, 'sad': 25.4587322473526, 'surprise': 0.0008392938980250619, 'neutral': 50.92306137084961}",,
14,28,male,latino hispanic,neutral,157.54364474646383,48.691749572753906
14,28,"{'male': 99.97146725654602, 'female': 0.02853489713743329}","{'asian': 5.455085167894979, 'indian': 8.787651662546594, 'black': 2.3988583190868282, 'white': 26.097092163216132, 'middle eastern': 24.456398124265448, 'latino hispanic': 32.80491921960345}","{'angry': 30.372050404548645, 'disgust': 5.2821678764303215e-05, 'fear': 12.287753075361252, 'happy': 0.010118234058609232, 'sad': 2.051656134426594, 'surprise': 19.024480879306793, 'neutral': 36.25389039516449}",,
15,33,female,white,neutral,276.68212808202844,28.839111328125
15,33,"{'male': 0.012323312694206834, 'female': 99.98767375946045}","{'asian': 1.306200594493168e-05, 'indian': 2.0485864893145517e-05, 'black': 1.3160597841015661e-07, 'white': 99.84372853301338, 'middle eastern': 0.06042204691750091, 'latino hispanic': 0.09581446054589514}","{'angry': 7.467605173587799, 'disgust': 0.2634442178532481, 'fear': 14.17696624994278, 'happy': 0.8707155473530293, 'sad': 32.51788318157196, 'surprise': 0.4549963865429163, 'neutral': 44.248390197753906}",,
16,29,male,middle eastern,happy,248.48541204666319,41.384124755859375
