Image_No,age,gender,race,center_dist,space
10,"{'0-2': 0.0007433034625137225, '3-9': 0.06565336370840669, '10-19': 2.520798332989216, '20-29': 45.821040868759155, '30-39': 45.34669816493988, '40-49': 5.89672364294529, '50-59': 0.3289037151262164, '60-69': 0.01855365262599662, '70+': 0.0008805649486021139}","{'male': 73.59196543693542, 'female': 26.408034563064575}","{'white': 21.648627519607544, 'black': 0.4253014922142029, 'latino hispanic': 63.447755575180054, 'asian': 5.736728012561798, 'indian': 2.836928702890873, 'middle eastern': 5.904662236571312}",,
11,20-29,male,black,24.08318915758459,74.22866821289062
11,"{'0-2': 6.649337969122371e-07, '3-9': 3.737107761025982e-05, '10-19': 0.14288502279669046, '20-29': 60.729044675827026, '30-39': 37.37719655036926, '40-49': 1.7399273812770844, '50-59': 0.010858546738745645, '60-69': 5.180173729968374e-05, '70+': 2.453344549735448e-06}","{'male': 99.99749660491943, 'female': 0.002503013274690602}","{'white': 1.7885624004065903e-05, 'black': 99.97854828834534, 'latino hispanic': 0.0009446494004805572, 'asian': 3.876552625570184e-05, 'indian': 0.02043392596533522, 'middle eastern': 2.2986208136899222e-05}",,
12,20-29,male,latino hispanic,43.18564576337837,73.22502136230469
12,"{'0-2': 0.442926911637187, '3-9': 3.9495833218097687, '10-19': 13.006879389286041, '20-29': 26.66831910610199, '30-39': 16.944701969623566, '40-49': 12.331986427307129, '50-59': 6.7908018827438354, '60-69': 9.965522587299347, '70+': 9.899288415908813}","{'male': 61.71250343322754, 'female': 38.28749656677246}","{'white': 12.213986366987228, 'black': 17.802588641643524, 'latino hispanic': 23.10784012079239, 'asian': 15.235470235347748, 'indian': 8.795726299285889, 'middle eastern': 22.844378650188446}",,
13,50-59,male,white,42.720018726587654,62.815189361572266
13,"{'0-2': 0.0003601023536248249, '3-9': 0.0009593533832230605, '10-19': 0.02453662164043635, '20-29': 0.25339440908282995, '30-39': 1.9952736794948578, '40-49': 19.852638244628906, '50-59': 57.05828070640564, '60-69': 19.240693747997284, '70+': 1.5738679096102715}","{'male': 97.62535095214844, 'female': 2.374648116528988}","{'white': 50.36991834640503, 'black': 0.5874446593225002, 'latino hispanic': 18.804584443569183, 'asian': 1.289275847375393, 'indian': 28.33685576915741, 'middle eastern': 0.6119172088801861}",,
14,20-29,male,white,53.712196007983145,54.48741912841797
14,"{'0-2': 5.933084779030651e-06, '3-9': 0.00017470167676947312, '10-19': 0.13197865337133408, '20-29': 65.9969687461853, '30-39': 33.64582061767578, '40-49': 0.22470855619758368, '50-59': 0.00034439549381204415, '60-69': 3.906162504563326e-06, '70+': 6.99139579563024e-08}","{'male': 99.99950528144836, 'female': 0.0004946917215420399}","{'white': 60.61335802078247, 'black': 0.03679362125694752, 'latino hispanic': 7.1339428424835205, 'asian': 0.03485671186354011, 'indian': 1.53378052636981, 'middle eastern': 30.647268891334534}",,
15,50-59,male,latino hispanic,5.656854249492381,95.4559326171875
15,"{'0-2': 0.006202531221788377, '3-9': 0.0032464322430314496, '10-19': 0.022504734806716442, '20-29': 0.0059397320001153275, '30-39': 0.10691063944250345, '40-49': 3.8400258868932724, '50-59': 67.6518201828003, '60-69': 28.087204694747925, '70+': 0.2761496230959892}","{'male': 99.99801516532898, 'female': 0.0019926452296203934}","{'white': 5.099695920944214, 'black': 0.08918730891309679, 'latino hispanic': 79.72669005393982, 'asian': 0.11685120407491922, 'indian': 9.200821816921234, 'middle eastern': 5.76675646007061}",,
16,40-49,male,middle eastern,42.44997055358225,89.56127166748047
16,"{'0-2': 0.002763618431345094, '3-9': 0.006837849650764838, '10-19': 0.13170711463317275, '20-29': 1.0343089699745178, '30-39': 26.469072699546814, '40-49': 64.11454677581787, '50-59': 8.132494986057281, '60-69': 0.10747303022071719, '70+': 0.0007956690751598217}","{'male': 99.95203018188477, 'female': 0.04797085130121559}","{'white': 10.40777936577797, 'black': 0.01337286812486127, 'latino hispanic': 34.658461809158325, 'asian': 0.11295679723843932, 'indian': 6.556981056928635, 'middle eastern': 48.25044870376587}",,
17,20-29,male,white,21.587033144922902,94.57159042358398
17,"{'0-2': 6.897621585011393e-07, '3-9': 0.00011676037274810369, '10-19': 0.7140276022255421, '20-29': 90.61161875724792, '30-39': 8.599171042442322, '40-49': 0.07483693771064281, '50-59': 0.00022357814941642573, '60-69': 4.083727134229775e-06, '70+': 7.471900320688007e-08}","{'male': 99.99859929084778, 'female': 0.001398630683979718}","{'white': 97.23758101463318, 'black': 0.0015460382201126777, 'latino hispanic': 1.8239041790366173, 'asian': 0.006664379179710522, 'indian': 0.08378532365895808, 'middle eastern': 0.8465275168418884}",,
18,40-49,male,white,1.0,99.70703125
18,"{'0-2': 0.0067903682065662, '3-9': 0.011512894707266241, '10-19': 0.13300804421305656, '20-29': 1.102728396654129, '30-39': 13.425669074058533, '40-49': 43.387314677238464, '50-59': 37.9237562417984, '60-69': 3.8809925317764282, '70+': 0.12822458520531654}","{'male': 99.93560910224915, 'female': 0.06439058925025165}","{'white': 97.73324728012085, 'black': 0.05969335325062275, 'latino hispanic': 1.561153121292591, 'asian': 0.02699648612178862, 'indian': 0.034743756987154484, 'middle eastern': 0.5841594655066729}",,
19,50-59,male,white,19.4164878389476,94.75793838500977
19,"{'0-2': 0.0009487148417974822, '3-9': 0.00043481004468048923, '10-19': 0.007178619125625119, '20-29': 0.06999057368375361, '30-39': 1.402386836707592, '40-49': 28.28090190887451, '50-59': 66.35280847549438, '60-69': 3.843057155609131, '70+': 0.04228925972711295}","{'male': 99.9981939792633, 'female': 0.0018114067643182352}","{'white': 93.15837025642395, 'black': 0.002136520924977958, 'latino hispanic': 0.5151237361133099, 'asian': 0.0031095711165107787, 'indian': 0.18287377897650003, 'middle eastern': 6.1383794993162155}",,
20,30-39,male,indian,20.39607805437114,91.67900085449219
20,"{'0-2': 0.00016414005585829727, '3-9': 0.007156976062105969, '10-19': 0.7207939866930246, '20-29': 16.973868012428284, '30-39': 62.22515106201172, '40-49': 19.714733958244324, '50-59': 0.3532812464982271, '60-69': 0.004763598917634226, '70+': 8.668913551446167e-05}","{'male': 99.99296069145203, 'female': 0.007038751937216148}","{'white': 1.4690152369439602, 'black': 0.06238875794224441, 'latino hispanic': 36.45395040512085, 'asian': 0.03684539697133005, 'indian': 59.34983491897583, 'middle eastern': 2.6279639452695847}",,
21,20-29,male,black,56.32051136131489,72.90544509887695
21,"{'0-2': 1.610196775914119e-06, '3-9': 0.00013794847291137557, '10-19': 0.5422901827841997, '20-29': 83.02251100540161, '30-39': 16.106636822223663, '40-49': 0.32605540473014116, '50-59': 0.002351862349314615, '60-69': 2.2359623130796535e-05, '70+': 2.1819021256419546e-06}","{'male': 99.99899864196777, 'female': 0.001000051724986406}","{'white': 1.0163476105162772e-05, 'black': 99.99750256538391, 'latino hispanic': 0.0006246217253647046, 'asian': 0.00018113946680387016, 'indian': 0.0016674710423103534, 'middle eastern': 1.3177329094560264e-05}",,
22,20-29,male,white,14.866068747318506,92.6218032836914
22,"{'0-2': 9.337382778085157e-06, '3-9': 0.0006652130196016515, '10-19': 0.868474692106247, '20-29': 59.557050466537476, '30-39': 38.412296772003174, '40-49': 1.1549605056643486, '50-59': 0.006465636397479102, '60-69': 7.018655878709978e-05, '70+': 5.446012973919778e-07}","{'male': 99.99615550041199, 'female': 0.003843902231892571}","{'white': 94.64109539985657, 'black': 0.0012126541150792036, 'latino hispanic': 4.475264623761177, 'asian': 0.3608475439250469, 'indian': 0.002465610668878071, 'middle eastern': 0.5191098898649216}",,
23,20-29,male,black,23.3452350598575,89.51187133789062
23,"{'0-2': 8.657740124817792e-06, '3-9': 0.002662204315129202, '10-19': 2.676042355597019, '20-29': 83.69057774543762, '30-39': 13.456419110298157, '40-49': 0.17356042517349124, '50-59': 0.0007193606506916694, '60-69': 8.951575125593081e-06, '70+': 3.491329225724371e-07}","{'male': 99.99760389328003, 'female': 0.0023950356990098953}","{'white': 0.00047455755520786624, 'black': 97.11472988128662, 'latino hispanic': 0.02388859575148672, 'asian': 0.003253440445405431, 'indian': 2.8567757457494736, 'middle eastern': 0.0008781530596024822}",,
24,20-29,male,latino hispanic,25.059928172283335,74.8835563659668
24,"{'0-2': 5.0687947350525064e-05, '3-9': 0.004609308234648779, '10-19': 1.3162516988813877, '20-29': 88.66678476333618, '30-39': 9.965100139379501, '40-49': 0.04713752423413098, '50-59': 5.935348781349603e-05, '60-69': 4.668717323852434e-06, '70+': 1.3015940547589366e-07}","{'male': 99.9957799911499, 'female': 0.004215426815790124}","{'white': 1.1428676545619965, 'black': 0.8875102736055851, 'latino hispanic': 34.06912088394165, 'asian': 0.1361339702270925, 'indian': 30.00257909297943, 'middle eastern': 33.76179039478302}",,
25,20-29,female,asian,118.86967653695369,42.31882095336914
25,"{'0-2': 0.0058586858358467, '3-9': 0.3782522166147828, '10-19': 5.420566350221634, '20-29': 68.60830187797546, '30-39': 19.471272826194763, '40-49': 5.370532721281052, '50-59': 0.5245541222393513, '60-69': 0.17433228204026818, '70+': 0.04632979980669916}","{'male': 39.77203369140625, 'female': 60.22797226905823}","{'white': 27.270767092704773, 'black': 0.2818944165483117, 'latino hispanic': 6.8734921514987946, 'asian': 58.215487003326416, 'indian': 1.1452820152044296, 'middle eastern': 6.213074177503586}",,
26,20-29,male,black,82.76472678623425,79.93183135986328
26,"{'0-2': 5.053603402416229e-06, '3-9': 0.0009229049283021595, '10-19': 2.661725692451, '20-29': 90.18068313598633, '30-39': 7.126163691282272, '40-49': 0.03045773191843182, '50-59': 3.732480422513618e-05, '60-69': 1.2795827508682578e-06, '70+': 3.336926013286501e-08}","{'male': 99.99877214431763, 'female': 0.001231350233865669}","{'white': 0.7247921079397202, 'black': 45.20954489707947, 'latino hispanic': 25.653713941574097, 'asian': 0.18606262747198343, 'indian': 25.047248601913452, 'middle eastern': 3.178638592362404}",,
27,50-59,male,black,77.83315488916018,70.42255401611328
27,"{'0-2': 0.0003489750952212489, '3-9': 0.0006568486242031213, '10-19': 0.020805878739338368, '20-29': 0.8007349446415901, '30-39': 8.088226616382599, '40-49': 38.58215510845184, '50-59': 47.225287556648254, '60-69': 5.128348991274834, '70+': 0.15343503328040242}","{'male': 99.99998211860657, 'female': 1.442640638060766e-05}","{'white': 2.4723800606807345e-05, 'black': 99.9679684638977, 'latino hispanic': 0.001104980219679419, 'asian': 1.7043278432993247e-05, 'indian': 0.030737803899683058, 'middle eastern': 0.00015167136098170886}",,
28,30-39,male,white,19.697715603592208,65.88935852050781
28,"{'0-2': 0.0005477234935824526, '3-9': 0.0011490021279314533, '10-19': 0.053363345796242356, '20-29': 4.5923057943582535, '30-39': 48.01546633243561, '40-49': 44.22520697116852, '50-59': 3.071919269859791, '60-69': 0.03967310185544193, '70+': 0.00037475199405889725}","{'male': 99.9939501285553, 'female': 0.006052591561456211}","{'white': 96.7534065246582, 'black': 0.0010452155038365163, 'latino hispanic': 1.3363675214350224, 'asian': 0.004111470116185956, 'indian': 0.042705266969278455, 'middle eastern': 1.8623566254973412}",,
29,20-29,male,middle eastern,48.05205510693585,71.89512252807617
29,"{'0-2': 0.07230787305161357, '3-9': 4.295081272721291, '10-19': 27.77235209941864, '20-29': 49.086812138557434, '30-39': 14.178955554962158, '40-49': 3.6766834557056427, '50-59': 0.5575356539338827, '60-69': 0.27831841725856066, '70+': 0.08195365080609918}","{'male': 94.41790580749512, 'female': 5.582095682621002}","{'white': 7.2802528738975525, 'black': 2.4769481271505356, 'latino hispanic': 18.63846629858017, 'asian': 20.57623863220215, 'indian': 8.790714293718338, 'middle eastern': 42.23737716674805}",,
30,10-19,female,asian,24.186773244895647,93.60809326171875
30,"{'0-2': 0.0012689250979747158, '3-9': 7.772092521190643, '10-19': 65.7930076122284, '20-29': 26.06862187385559, '30-39': 0.3623952390626073, '40-49': 0.0025761566575965844, '50-59': 3.099671630479861e-05, '60-69': 3.1727832805472644e-06, '70+': 3.467232501108697e-07}","{'male': 0.19211035687476397, 'female': 99.80789422988892}","{'white': 4.937106743454933, 'black': 0.03775615186896175, 'latino hispanic': 22.89459854364395, 'asian': 68.93078088760376, 'indian': 1.8265608698129654, 'middle eastern': 1.3731969520449638}",,
31,40-49,male,middle eastern,26.248809496813372,64.87236022949219
31,"{'0-2': 0.0007730829565844033, '3-9': 0.0014789422493777238, '10-19': 0.019065300875809044, '20-29': 1.0796282440423965, '30-39': 32.682907581329346, '40-49': 62.05404996871948, '50-59': 4.141565412282944, '60-69': 0.020404468523338437, '70+': 0.00012712151828964124}","{'male': 99.99366998672485, 'female': 0.006331711483653635}","{'white': 8.980590105056763, 'black': 0.07738193962723017, 'latino hispanic': 18.356800079345703, 'asian': 0.010130907321581617, 'indian': 3.4638866782188416, 'middle eastern': 69.11121010780334}",,
32,40-49,male,indian,33.97057550292606,85.94226837158203
32,"{'0-2': 0.026318698655813932, '3-9': 0.04299444844946265, '10-19': 0.2687824424356222, '20-29': 0.29902602545917034, '30-39': 5.7399682700634, '40-49': 51.21062397956848, '50-59': 41.197752952575684, '60-69': 1.206994242966175, '70+': 0.007542669482063502}","{'male': 99.95872378349304, 'female': 0.041275061084888875}","{'white': 10.51805466413498, 'black': 0.02993530360981822, 'latino hispanic': 29.291057586669922, 'asian': 0.3445671871304512, 'indian': 52.25951671600342, 'middle eastern': 7.556865364313126}",,
33,20-29,male,black,25.495097567963924,88.15689086914062
33,"{'0-2': 0.08393278112635016, '3-9': 1.1388014070689678, '10-19': 6.851286441087723, '20-29': 41.52289032936096, '30-39': 26.4448344707489, '40-49': 17.0670285820961, '50-59': 4.542265459895134, '60-69': 1.8079733476042747, '70+': 0.540978042408824}","{'male': 86.8209183216095, 'female': 13.179083168506622}","{'white': 4.224514961242676, 'black': 73.9547848701477, 'latino hispanic': 10.561251640319824, 'asian': 7.377335429191589, 'indian': 1.7371514812111855, 'middle eastern': 2.1449605002999306}",,
34,60-69,male,white,35.77708763999664,87.5244140625
34,"{'0-2': 0.002314587800356094, '3-9': 0.0021542698959819973, '10-19': 0.02136669645551592, '20-29': 0.02513607032597065, '30-39': 0.08266381337307394, '40-49': 0.8706769905984402, '50-59': 21.076081693172455, '60-69': 61.96417808532715, '70+': 15.95543920993805}","{'male': 99.94708895683289, 'female': 0.05291524576023221}","{'white': 70.66368460655212, 'black': 0.2201830269768834, 'latino hispanic': 4.816323518753052, 'asian': 0.22990356665104628, 'indian': 1.6520390287041664, 'middle eastern': 22.41787761449814}",,
35,20-29,male,black,121.5976973466192,51.31807327270508
35,"{'0-2': 0.30775631312280893, '3-9': 5.010784789919853, '10-19': 10.221242159605026, '20-29': 56.312721967697144, '30-39': 20.345471799373627, '40-49': 5.9274934232234955, '50-59': 1.2443384155631065, '60-69': 0.46607526019215584, '70+': 0.16411327524110675}","{'male': 82.25993514060974, 'female': 17.740066349506378}","{'white': 21.411234140396118, 'black': 29.463276267051697, 'latino hispanic': 18.627187609672546, 'asian': 14.16681557893753, 'indian': 2.2699330002069473, 'middle eastern': 14.061546325683594}",,
36,30-39,male,white,13.92838827718412,95.45230865478516
36,"{'0-2': 2.542823729356769e-06, '3-9': 6.4955578693570715e-06, '10-19': 0.0006683590527245542, '20-29': 0.8142221719026566, '30-39': 53.812313079833984, '40-49': 44.935595989227295, '50-59': 0.4354214295744896, '60-69': 0.0017609141650609672, '70+': 1.905292634774014e-05}","{'male': 99.99998211860657, 'female': 1.8918274236057186e-05}","{'white': 99.62351322174072, 'black': 2.5456068897256046e-05, 'latino hispanic': 0.0017385878891218454, 'asian': 0.0001039253106682736, 'indian': 0.00025740287128428463, 'middle eastern': 0.37435833364725113}",,
37,20-29,male,black,34.539832078341085,74.74737167358398
37,"{'0-2': 1.510052101139081e-05, '3-9': 0.00031753143048263155, '10-19': 0.3322164062410593, '20-29': 69.55668330192566, '30-39': 29.122069478034973, '40-49': 0.9822185151278973, '50-59': 0.0063630868680775166, '60-69': 0.00010247704267385416, '70+': 5.1875836959425214e-06}","{'male': 99.99958872795105, 'female': 0.0004135114522796357}","{'white': 0.00010839424930964014, 'black': 99.89277124404907, 'latino hispanic': 0.019264027650933713, 'asian': 0.0012402760148688685, 'indian': 0.08629579097032547, 'middle eastern': 0.0003317500613775337}",,
38,20-29,male,latino hispanic,96.33794683301073,65.52314758300781
38,"{'0-2': 3.635308871707821e-05, '3-9': 0.00131740480355802, '10-19': 0.7575129624456167, '20-29': 79.0952742099762, '30-39': 19.849638640880585, '40-49': 0.2953078830614686, '50-59': 0.0008898161468096077, '60-69': 2.5902747324835218e-05, '70+': 2.5248494406326927e-07}","{'male': 99.99963045120239, 'female': 0.0003661250730147003}","{'white': 12.951277196407318, 'black': 0.01005069279926829, 'latino hispanic': 39.08551037311554, 'asian': 11.788959801197052, 'indian': 2.850385382771492, 'middle eastern': 33.31381380558014}",,
39,20-29,female,white,37.0540146272978,83.00256729125977
39,"{'0-2': 1.8140184465664788e-06, '3-9': 0.038912351010367274, '10-19': 39.95744585990906, '20-29': 59.77853536605835, '30-39': 0.2249625977128744, '40-49': 0.00014492993614112493, '50-59': 6.106661842864014e-08, '60-69': 1.6532181873474272e-09, '70+': 2.6970073852168597e-11}","{'male': 0.01718365674605593, 'female': 99.98281598091125}","{'white': 60.51628589630127, 'black': 0.02144849131582305, 'latino hispanic': 36.021846532821655, 'asian': 1.5128696337342262, 'indian': 0.13237984385341406, 'middle eastern': 1.7951587215065956}",,
40,20-29,male,asian,66.46803743153548,74.89442825317383
40,"{'0-2': 0.2064703730866313, '3-9': 4.599502682685852, '10-19': 14.307582378387451, '20-29': 45.69239020347595, '30-39': 21.018213033676147, '40-49': 9.73699688911438, '50-59': 2.847268059849739, '60-69': 1.112937554717064, '70+': 0.4786435980349779}","{'male': 60.49870252609253, 'female': 39.50130045413971}","{'white': 21.682386100292206, 'black': 15.659083425998688, 'latino hispanic': 17.30649322271347, 'asian': 26.066744327545166, 'indian': 6.596653163433075, 'middle eastern': 12.688644230365753}",,
41,20-29,male,white,19.235384061671347,94.85111236572266
41,"{'0-2': 5.215819598447524e-06, '3-9': 0.0034360586141701788, '10-19': 11.120351403951645, '20-29': 87.87359595298767, '30-39': 1.0001988150179386, '40-49': 0.0024099217625916936, '50-59': 4.2339095784882375e-06, '60-69': 1.248481651394684e-07, '70+': 2.9845272087047903e-09}","{'male': 99.9994695186615, 'female': 0.0005291331035550684}","{'white': 99.16004538536072, 'black': 0.00033338226330670295, 'latino hispanic': 0.27786046266555786, 'asian': 0.002462827251292765, 'indian': 0.006888408097438514, 'middle eastern': 0.5524219945073128}",,
42,30-39,male,black,36.124783736376884,69.77033615112305
42,"{'0-2': 0.000453584334536572, '3-9': 0.03984603099524975, '10-19': 2.4396056309342384, '20-29': 36.38197481632233, '30-39': 46.392977237701416, '40-49': 14.255203306674957, '50-59': 0.4737488925457001, '60-69': 0.015070647350512445, '70+': 0.0011157379958603997}","{'male': 99.99749660491943, 'female': 0.002503641189832706}","{'white': 1.5546292786439153e-05, 'black': 99.99827742576599, 'latino hispanic': 0.0007046883183647878, 'asian': 3.8394347257053596e-05, 'indian': 0.0008747188076085877, 'middle eastern': 0.00010009631523644202}",,
43,20-29,male,asian,71.386273190299,81.63127899169922
43,"{'0-2': 0.002433091140119359, '3-9': 0.1940472866408527, '10-19': 4.713420942425728, '20-29': 64.91146683692932, '30-39': 20.723073184490204, '40-49': 7.784746587276459, '50-59': 1.0682277381420135, '60-69': 0.5133222788572311, '70+': 0.08926151785999537}","{'male': 68.63453984260559, 'female': 31.36546015739441}","{'white': 23.61515909433365, 'black': 7.288560271263123, 'latino hispanic': 23.93936514854431, 'asian': 39.06055688858032, 'indian': 4.300911724567413, 'middle eastern': 1.7954517155885696}",,
44,20-29,female,latino hispanic,20.09975124224178,94.940185546875
44,"{'0-2': 0.013553665485233068, '3-9': 1.540753897279501, '10-19': 36.287760734558105, '20-29': 45.97044289112091, '30-39': 12.181425094604492, '40-49': 3.1392160803079605, '50-59': 0.5883310455828905, '60-69': 0.2297315513715148, '70+': 0.04878377658315003}","{'male': 49.62743818759918, 'female': 50.37255883216858}","{'white': 2.061052806675434, 'black': 22.212426364421844, 'latino hispanic': 53.61146330833435, 'asian': 11.882530897855759, 'indian': 5.106862634420395, 'middle eastern': 5.125671252608299}",,
