Image_No,age,gender,race,center_dist,space
10,"{'0-2': 0.00010938507557511912, '3-9': 0.28926972299814224, '10-19': 41.725438833236694, '20-29': 57.24781155586243, '30-39': 0.7281073369085789, '40-49': 0.009229285205947235, '50-59': 3.06940904692965e-05, '60-69': 4.586012281038165e-06, '70+': 1.2159218076845946e-07}","{'male': 0.028089320403523743, 'female': 99.97190833091736}","{'white': 0.12272401945665479, 'black': 0.00013184693443690776, 'latino hispanic': 0.09389414335601032, 'asian': 99.76338148117065, 'indian': 0.012789753964170814, 'middle eastern': 0.007076287147356197}",,
11,40-49,male,white,19.026297590440446,78.4
11,"{'0-2': 0.00037825070648978, '3-9': 0.0006610034233744955, '10-19': 0.025609106523916125, '20-29': 0.23024859838187695, '30-39': 8.36612656712532, '40-49': 61.753469705581665, '50-59': 28.504419326782227, '60-69': 1.1145289056003094, '70+': 0.004550320954876952}","{'male': 99.99995827674866, 'female': 3.5901615547118126e-05}","{'white': 89.11241888999939, 'black': 0.001157114365923917, 'latino hispanic': 4.308965057134628, 'asian': 0.15009413473308086, 'indian': 0.12511098757386208, 'middle eastern': 6.302246451377869}",,
12,20-29,male,middle eastern,84.31488599292535,31.639412997903566
12,"{'0-2': 3.0500842740366352e-05, '3-9': 0.0019400173187023029, '10-19': 0.8667277172207832, '20-29': 78.52787971496582, '30-39': 20.423822104930878, '40-49': 0.17924191197380424, '50-59': 0.0003551905820131651, '60-69': 8.045344657148235e-06, '70+': 2.8458500000994036e-07}","{'male': 99.785715341568, 'female': 0.21428484469652176}","{'white': 33.57901573181152, 'black': 0.026267519569955766, 'latino hispanic': 4.493885114789009, 'asian': 0.012940508895553648, 'indian': 0.16400875756517053, 'middle eastern': 61.72388792037964}",,
13,20-29,male,white,127.09838708654017,42.945945945945944
13,"{'0-2': 1.549202437445274e-05, '3-9': 0.011832918971776962, '10-19': 5.509096756577492, '20-29': 89.74395990371704, '30-39': 4.652786999940872, '40-49': 0.08213385590352118, '50-59': 0.00017719304423735593, '60-69': 1.3685849786782e-06, '70+': 2.6057314639338358e-08}","{'male': 99.99957084655762, 'female': 0.00042792435124283656}","{'white': 99.96939301490784, 'black': 5.085572407637073e-07, 'latino hispanic': 0.0018762493709800765, 'asian': 0.00023839952518756036, 'indian': 1.4923686819656723e-05, 'middle eastern': 0.02849537122529}",,
14,20-29,female,white,16.970562748477143,56.90666666666667
14,"{'0-2': 5.74323109958641e-05, '3-9': 0.1341448863968253, '10-19': 12.296092510223389, '20-29': 82.64487981796265, '30-39': 4.830193892121315, '40-49': 0.09401517454534769, '50-59': 0.000619926004219451, '60-69': 6.495690740848659e-06, '70+': 5.216102216820673e-07}","{'male': 0.10548928985372186, 'female': 99.89451169967651}","{'white': 99.99522566795349, 'black': 3.8906375721126096e-05, 'latino hispanic': 0.002234983185189776, 'asian': 0.0009091751962841954, 'indian': 1.7914265981744393e-05, 'middle eastern': 0.0015787407392053865}",,
15,20-29,male,white,41.19465984809196,62.6797124600639
15,"{'0-2': 0.22841524332761765, '3-9': 11.096405982971191, '10-19': 30.92491328716278, '20-29': 32.353952527046204, '30-39': 13.315431773662567, '40-49': 8.432094752788544, '50-59': 2.6009993627667427, '60-69': 0.8246653713285923, '70+': 0.22312949877232313}","{'male': 89.59169387817383, 'female': 10.408303141593933}","{'white': 37.95963227748871, 'black': 4.879364371299744, 'latino hispanic': 20.11815309524536, 'asian': 14.801982045173645, 'indian': 5.414460599422455, 'middle eastern': 16.826404631137848}",,
16,20-29,female,white,18.027756377319946,55.782967032967036
16,"{'0-2': 0.0020208064597682096, '3-9': 0.2921296516433358, '10-19': 18.93295645713806, '20-29': 72.41505980491638, '30-39': 8.090885728597641, '40-49': 0.2590874210000038, '50-59': 0.007083926175255328, '60-69': 0.0007225504759844625, '70+': 4.857005819758342e-05}","{'male': 1.6205843538045883, 'female': 98.37941527366638}","{'white': 79.52331304550171, 'black': 0.0599526334553957, 'latino hispanic': 2.7236180379986763, 'asian': 9.888286888599396, 'indian': 0.19176611676812172, 'middle eastern': 7.613066583871841}",,
17,20-29,female,white,6.324555320336759,95.43091334894613
17,"{'0-2': 6.986698442013051e-08, '3-9': 0.00011832860309368698, '10-19': 1.127636805176735, '20-29': 78.54598760604858, '30-39': 20.21639049053192, '40-49': 0.10956570040434599, '50-59': 0.0002963019142043777, '60-69': 1.925240056266375e-06, '70+': 1.256182380338089e-08}","{'male': 4.991389914721367e-05, 'female': 99.99995231628418}","{'white': 91.27163290977478, 'black': 0.00961660043685697, 'latino hispanic': 7.935403287410736, 'asian': 0.011676233407342806, 'indian': 0.027701622457243502, 'middle eastern': 0.7439576089382172}",,
18,20-29,female,white,7.0710678118654755,90.48958333333333
18,"{'0-2': 0.006066378045943566, '3-9': 0.6384470034390688, '10-19': 24.648331105709076, '20-29': 41.67758524417877, '30-39': 18.035520613193512, '40-49': 12.078811973333359, '50-59': 2.5009848177433014, '60-69': 0.3993272315710783, '70+': 0.014912411279510707}","{'male': 45.50910294055939, 'female': 54.49090003967285}","{'white': 69.45686936378479, 'black': 0.0006660829058091622, 'latino hispanic': 0.2311146119609475, 'asian': 1.2513628229498863, 'indian': 0.03645202668849379, 'middle eastern': 29.023537039756775}",,
19,20-29,female,white,3.1622776601683795,81.93604148660329
19,"{'0-2': 0.0049098940507974476, '3-9': 0.03978949680458754, '10-19': 1.920090802013874, '20-29': 47.86735475063324, '30-39': 42.23790466785431, '40-49': 6.435856968164444, '50-59': 1.156611368060112, '60-69': 0.3083533374592662, '70+': 0.029128583264537156}","{'male': 15.35370796918869, 'female': 84.64629054069519}","{'white': 59.25010442733765, 'black': 1.5540435910224915, 'latino hispanic': 4.020477458834648, 'asian': 0.4207459744066, 'indian': 0.3995169419795275, 'middle eastern': 34.355103969573975}",,
20,20-29,female,white,34.132096331752024,50.98823529411764
20,"{'0-2': 1.6600548491396694e-06, '3-9': 0.0021742858734796755, '10-19': 2.8006872162222862, '20-29': 89.93743062019348, '30-39': 7.221243530511856, '40-49': 0.03833661612588912, '50-59': 0.00012227089882799191, '60-69': 9.990738902843077e-07, '70+': 1.1688155998612615e-08}","{'male': 0.002651046816026792, 'female': 99.9973475933075}","{'white': 99.80805516242981, 'black': 0.0006860347184556304, 'latino hispanic': 0.11052802437916398, 'asian': 0.0018611879568197764, 'indian': 0.0002644540018081898, 'middle eastern': 0.0786025368142873}",,
21,70+,female,latino hispanic,4.123105625617661,97.11703703703704
21,"{'0-2': 0.05736594321206212, '3-9': 1.5191013924777508, '10-19': 2.1552052348852158, '20-29': 2.9249779880046844, '30-39': 4.266885295510292, '40-49': 8.963656425476074, '50-59': 11.468064785003662, '60-69': 33.387067914009094, '70+': 35.25766730308533}","{'male': 9.689594805240631, 'female': 90.31040668487549}","{'white': 11.758745461702347, 'black': 5.040471255779266, 'latino hispanic': 34.19669568538666, 'asian': 31.642436981201172, 'indian': 15.927346050739288, 'middle eastern': 1.4343151822686195}",,
22,20-29,female,white,32.0624390837628,59.377162629757784
22,"{'0-2': 5.174926442919059e-06, '3-9': 0.0064346109866164625, '10-19': 3.052223287522793, '20-29': 83.59866142272949, '30-39': 13.11061680316925, '40-49': 0.23085263092070818, '50-59': 0.0011895385796378832, '60-69': 1.5935258090848947e-05, '70+': 3.8446534844638336e-07}","{'male': 0.006636030593654141, 'female': 99.99336004257202}","{'white': 93.95615458488464, 'black': 0.0007968883437570184, 'latino hispanic': 0.9176122955977917, 'asian': 0.0004457690465642372, 'indian': 0.005876647992408834, 'middle eastern': 5.119108408689499}",,
23,20-29,male,latino hispanic,2.23606797749979,81.85747663551402
23,"{'0-2': 0.0005120156401972054, '3-9': 0.09519877494312823, '10-19': 24.780048429965973, '20-29': 69.8754072189331, '30-39': 5.10263629257679, '40-49': 0.14413739554584026, '50-59': 0.0018910526705440134, '60-69': 0.00016033649217206403, '70+': 5.6498599576571e-06}","{'male': 99.97541904449463, 'female': 0.02457623486407101}","{'white': 3.0954211950302124, 'black': 12.651020288467407, 'latino hispanic': 72.58478999137878, 'asian': 0.9572844952344894, 'indian': 1.98744498193264, 'middle eastern': 8.724038302898407}",,
24,30-39,male,middle eastern,13.038404810405298,66.92045454545455
24,"{'0-2': 3.664539462988614e-05, '3-9': 0.0010411293260403909, '10-19': 0.11285175569355488, '20-29': 47.62255847454071, '30-39': 50.7659375667572, '40-49': 1.4883111231029034, '50-59': 0.008835820335661992, '60-69': 0.00040573854676040355, '70+': 2.8025277742926846e-05}","{'male': 99.93659853935242, 'female': 0.06340136751532555}","{'white': 6.9963239133358, 'black': 0.021782472322229296, 'latino hispanic': 0.7531140465289354, 'asian': 0.01414025027770549, 'indian': 0.462989741936326, 'middle eastern': 91.75165295600891}",,
25,20-29,female,white,1.0,93.40444444444445
25,"{'0-2': 0.0002134754140570294, '3-9': 0.024426961317658424, '10-19': 0.9323910810053349, '20-29': 66.18895530700684, '30-39': 31.232738494873047, '40-49': 1.5951484441757202, '50-59': 0.02575463440734893, '60-69': 0.0003459062099864241, '70+': 2.8420367925718892e-05}","{'male': 0.006557346932822838, 'female': 99.99343752861023}","{'white': 99.99915957450867, 'black': 2.865707671162454e-06, 'latino hispanic': 0.00034689596759562846, 'asian': 3.625345925684087e-05, 'indian': 5.646309730877874e-06, 'middle eastern': 0.00045447613956639543}",,
26,20-29,female,white,72.42237223399962,78.00837364911251
26,"{'0-2': 1.741450184056248e-06, '3-9': 0.0027952803066000342, '10-19': 2.8290534391999245, '20-29': 69.76385712623596, '30-39': 26.128387451171875, '40-49': 1.268206536769867, '50-59': 0.0076385629654396325, '60-69': 6.0579725413845154e-05, '70+': 8.309574361931027e-07}","{'male': 0.010420427861390635, 'female': 99.98958110809326}","{'white': 92.47303605079651, 'black': 0.0006769872925360687, 'latino hispanic': 5.369735136628151, 'asian': 0.0008823874850349966, 'indian': 0.33655271399766207, 'middle eastern': 1.8191250041127205}",,
27,20-29,male,latino hispanic,4.242640687119286,96.92407932011331
27,"{'0-2': 6.867959712053562e-06, '3-9': 0.00194329386431491, '10-19': 7.275555282831192, '20-29': 85.43787002563477, '30-39': 7.160518318414688, '40-49': 0.12352478224784136, '50-59': 0.0005696549123967998, '60-69': 8.823278818681501e-06, '70+': 8.168598575331032e-08}","{'male': 99.99995827674866, 'female': 4.417227330577589e-05}","{'white': 37.04293370246887, 'black': 0.02384333492955193, 'latino hispanic': 53.37080359458923, 'asian': 0.047598525998182595, 'indian': 2.7708135545253754, 'middle eastern': 6.744006276130676}",,
28,20-29,male,white,4.0,84.56468955948665
28,"{'0-2': 0.0001798540324671194, '3-9': 0.042589567601680756, '10-19': 19.23510730266571, '20-29': 69.25645470619202, '30-39': 10.505260527133942, '40-49': 0.9482352994382381, '50-59': 0.01192245545098558, '60-69': 0.0002524307092244271, '70+': 4.703710132503147e-06}","{'male': 99.95765089988708, 'female': 0.04234657681081444}","{'white': 98.11857342720032, 'black': 0.0008537816029274836, 'latino hispanic': 0.3084899624809623, 'asian': 0.0019112925656372681, 'indian': 0.003357434252393432, 'middle eastern': 1.5668196603655815}",,
29,20-29,female,latino hispanic,44.384682042344295,49.08444444444445
29,"{'0-2': 1.7450609846036969e-06, '3-9': 0.000866195114213042, '10-19': 1.2767648324370384, '20-29': 85.05663871765137, '30-39': 13.564901053905487, '40-49': 0.1005374826490879, '50-59': 0.0002945237383755739, '60-69': 1.8991515915445234e-06, '70+': 9.050676180732964e-09}","{'male': 0.003978668610216118, 'female': 99.996018409729}","{'white': 6.400645524263382, 'black': 1.0020982474088669, 'latino hispanic': 86.08540892601013, 'asian': 0.851507019251585, 'indian': 4.899602010846138, 'middle eastern': 0.7607387378811836}",,
30,20-29,male,latino hispanic,27.313000567495326,60.57916666666666
30,"{'0-2': 0.00016574343817410409, '3-9': 0.006774028588552028, '10-19': 4.5413099229335785, '20-29': 73.0852484703064, '30-39': 21.329402923583984, '40-49': 1.0201431810855865, '50-59': 0.016348481585737318, '60-69': 0.0005924229753873078, '70+': 9.861853556003553e-06}","{'male': 99.97249245643616, 'female': 0.027508792118169367}","{'white': 25.871247053146362, 'black': 0.0917548662982881, 'latino hispanic': 37.550222873687744, 'asian': 0.17273388803005219, 'indian': 1.498495228588581, 'middle eastern': 34.81554388999939}",,
31,20-29,female,white,30.675723300355937,55.60000000000001
31,"{'0-2': 0.00010590430292722885, '3-9': 0.16777906566858292, '10-19': 17.99997389316559, '20-29': 75.73530077934265, '30-39': 5.814548954367638, '40-49': 0.2789321122691035, '50-59': 0.003260827361373231, '60-69': 8.926861596592062e-05, '70+': 9.18027822649492e-06}","{'male': 0.0098667289421428, 'female': 99.99013543128967}","{'white': 99.96010661125183, 'black': 1.3297383816279762e-05, 'latino hispanic': 0.006312678306130692, 'asian': 0.0025796995032578707, 'indian': 4.372686248643731e-05, 'middle eastern': 0.03093494742643088}",,
32,40-49,female,white,24.020824298928627,51.40167364016737
32,"{'0-2': 0.002185648372687865, '3-9': 0.028994985041208565, '10-19': 0.46357368119060993, '20-29': 10.41894480586052, '30-39': 37.00634837150574, '40-49': 41.92030727863312, '50-59': 9.465686976909637, '60-69': 0.683263223618269, '70+': 0.010698606638470665}","{'male': 0.1274937647394836, 'female': 99.87249970436096}","{'white': 76.76475644111633, 'black': 0.002058867539744824, 'latino hispanic': 2.7493078261613846, 'asian': 0.04068392445333302, 'indian': 0.03737696970347315, 'middle eastern': 20.40582150220871}",,
33,20-29,female,indian,2.8284271247461903,90.09353741496598
33,"{'0-2': 0.002485668665030971, '3-9': 3.2286979258060455, '10-19': 45.64816653728485, '20-29': 46.41629159450531, '30-39': 4.443573206663132, '40-49': 0.2536358078941703, '50-59': 0.0065238928073085845, '60-69': 0.0005934511591476621, '70+': 2.4393992248405993e-05}","{'male': 39.03738856315613, 'female': 60.96261739730835}","{'white': 3.055698424577713, 'black': 10.77233999967575, 'latino hispanic': 29.99017834663391, 'asian': 0.2277265302836895, 'indian': 48.16441237926483, 'middle eastern': 7.789634168148041}",,
34,20-29,female,asian,7.280109889280519,85.76595744680851
34,"{'0-2': 0.0019938770492444746, '3-9': 0.13418443268164992, '10-19': 2.4018563330173492, '20-29': 86.27805709838867, '30-39': 10.730268061161041, '40-49': 0.44497353956103325, '50-59': 0.008147244807332754, '60-69': 0.0004948309197061462, '70+': 1.5366690320206544e-05}","{'male': 0.4334196913987398, 'female': 99.56658482551575}","{'white': 3.4092653542757034, 'black': 0.004992921094526537, 'latino hispanic': 1.439423393458128, 'asian': 95.03642916679382, 'indian': 0.004392398477648385, 'middle eastern': 0.10548920836299658}",,
35,20-29,female,asian,37.36308338453881,33.645833333333336
35,"{'0-2': 0.0007248090241773752, '3-9': 0.09567606612108648, '10-19': 5.3308360278606415, '20-29': 84.39436554908752, '30-39': 9.773920476436615, '40-49': 0.3926060628145933, '50-59': 0.010959737846860662, '60-69': 0.0008590050128987059, '70+': 5.188808813727519e-05}","{'male': 3.175244480371475, 'female': 96.82475328445435}","{'white': 36.06842756271362, 'black': 0.42227935045957565, 'latino hispanic': 13.955038785934448, 'asian': 45.90654671192169, 'indian': 0.6051651667803526, 'middle eastern': 3.0425406992435455}",,
36,20-29,female,asian,16.0312195418814,85.75874999999999
