Image_No,age,gender,race,emotion,center_dist,space
11,28,"{'male': 99.9929428100586, 'female': 0.007052766886772588}","{'asian': 8.996641764902336e-08, 'indian': 5.278155867927126e-06, 'black': 5.827741761388339e-09, 'white': 99.90953207015991, 'middle eastern': 0.07859639008529484, 'latino hispanic': 0.011872336472151801}","{'angry': 0.8668238399116802, 'disgust': 0.0006288248027170307, 'fear': 2.8430083430419377, 'happy': 0.16814092781584594, 'sad': 63.5412947584742, 'surprise': 0.0005119071075538963, 'neutral': 32.579595754098385}",,
12,25,male,white,happy,10.816653826391969,62.9425048828125
12,25,"{'male': 99.99676942825317, 'female': 0.0032298852602252737}","{'asian': 0.01468560600409171, 'indian': 0.04479008469876407, 'black': 0.004578956122792505, 'white': 85.0277414934481, 'middle eastern': 7.97630745031282, 'latino hispanic': 6.931896920913275}","{'angry': 2.901775635099149e-13, 'disgust': 5.055078458554575e-25, 'fear': 5.044287123635444e-19, 'happy': 100.0, 'sad': 2.232733109183184e-13, 'surprise': 1.0914658527027069e-11, 'neutral': 1.7284808251361028e-06}",,
13,30,female,white,happy,39.446165846632034,40.61241149902344
13,30,"{'male': 1.6044872097609186e-05, 'female': 99.99998807907104}","{'asian': 0.011879239212216232, 'indian': 0.13164892620308086, 'black': 0.006197181198988861, 'white': 81.37462361161427, 'middle eastern': 11.376003309964739, 'latino hispanic': 7.099644738478096}","{'angry': 2.8834500759300496e-09, 'disgust': 5.838848628058396e-19, 'fear': 2.26813470782794e-08, 'happy': 99.99988079071045, 'sad': 1.2559842055281933e-09, 'surprise': 4.366847861092538e-06, 'neutral': 0.00011322556474624434}",,
14,30,male,white,happy,20.0,63.812255859375
14,30,"{'male': 99.9997615814209, 'female': 0.00023605230126122478}","{'asian': 3.376161156198876e-09, 'indian': 1.2290767292810756e-07, 'black': 2.6872969995095364e-10, 'white': 99.97438788414001, 'middle eastern': 0.020690808014478534, 'latino hispanic': 0.00492549552291166}","{'angry': 3.5558060353389855e-11, 'disgust': 4.205925636631135e-20, 'fear': 2.817213486338887e-14, 'happy': 99.99974370001219, 'sad': 1.2008574104916308e-10, 'surprise': 1.3689237192343968e-10, 'neutral': 0.0002584287057619655}",,
15,29,male,black,happy,32.69556544854363,83.63800048828125
15,29,"{'male': 99.98621940612793, 'female': 0.013773956743534654}","{'asian': 5.134745753587744e-09, 'indian': 8.12474798550511e-07, 'black': 100.0, 'white': 7.64067493086093e-12, 'middle eastern': 2.978955786474974e-11, 'latino hispanic': 4.293320698955938e-08}","{'angry': 1.5679485443342855e-05, 'disgust': 5.024974983110609e-15, 'fear': 1.2994780598796218e-09, 'happy': 99.96144771575928, 'sad': 8.320638400505231e-07, 'surprise': 1.6401496827356254e-08, 'neutral': 0.03853740927297622}",,
16,39,male,white,happy,40.459856648287825,45.9716796875
16,39,"{'male': 100.0, 'female': 2.4943611065531002e-08}","{'asian': 1.346546429914497e-06, 'indian': 0.0003746926040548715, 'black': 1.8224541875611067e-06, 'white': 98.80431890487671, 'middle eastern': 1.0701918043196201, 'latino hispanic': 0.1251186477020383}","{'angry': 1.2475257682176606e-09, 'disgust': 5.542626413598527e-24, 'fear': 2.0114022758749123e-14, 'happy': 99.99801516521067, 'sad': 3.5891199511368616e-14, 'surprise': 2.6637230121723703e-08, 'neutral': 0.0019870665075581114}",,
17,35,male,white,fear,56.0,77.16865539550781
17,35,"{'male': 88.73254656791687, 'female': 11.267460137605667}","{'asian': 9.41062867641449, 'indian': 5.181950330734253, 'black': 4.884452000260353, 'white': 41.38774871826172, 'middle eastern': 20.224998891353607, 'latino hispanic': 18.91021579504013}","{'angry': 0.001453219465474831, 'disgust': 2.1125108329300701e-07, 'fear': 98.82053136825562, 'happy': 0.0003352674639245379, 'sad': 1.136496663093567, 'surprise': 0.041067489655688405, 'neutral': 0.0001236168486684619}",,
18,31,male,white,happy,34.713109915419565,83.441162109375
18,31,"{'male': 99.99516010284424, 'female': 0.004839001485379413}","{'asian': 2.639981129212189e-12, 'indian': 2.0900878141931478e-11, 'black': 2.898314142315966e-15, 'white': 99.9997615814209, 'middle eastern': 0.0002072165216304711, 'latino hispanic': 2.8834085696871625e-05}","{'angry': 1.2890142078725297e-09, 'disgust': 6.081949226025715e-34, 'fear': 1.718393380327207e-20, 'happy': 100.0, 'sad': 1.1448169337976246e-16, 'surprise': 1.3840506984401845e-16, 'neutral': 1.019028719913273e-10}",,
19,30,female,white,happy,30.528675044947498,28.939056396484375
19,30,"{'male': 2.0059533417224884, 'female': 97.99404740333557}","{'asian': 0.02786085990545809, 'indian': 0.07016072467927484, 'black': 0.0026558598383912163, 'white': 85.9233430578317, 'middle eastern': 8.151512333840866, 'latino hispanic': 5.824466396836423}","{'angry': 8.385937663016988e-18, 'disgust': 1.2181965058927443e-27, 'fear': 1.776487818642261e-18, 'happy': 99.99794960021973, 'sad': 2.061724184859025e-15, 'surprise': 4.62034794104782e-10, 'neutral': 0.0020500923710642383}",,
20,34,male,white,happy,55.0,78.24974060058594
20,34,"{'male': 99.99997615814209, 'female': 2.845400786100072e-05}","{'asian': 2.777836291949242e-13, 'indian': 8.409337001703474e-12, 'black': 6.150137485168514e-16, 'white': 99.99972581863403, 'middle eastern': 0.0001706365310383262, 'latino hispanic': 0.00010024778021033853}","{'angry': 6.635262210445689e-13, 'disgust': 2.9761645572473896e-23, 'fear': 1.2773729615905503e-17, 'happy': 99.97857808939088, 'sad': 7.654681164989758e-10, 'surprise': 1.1511124771294907e-10, 'neutral': 0.021423431284352767}",,
21,33,male,black,happy,129.07362240210043,15.8233642578125
21,33,"{'male': 99.75246787071228, 'female': 0.24752658791840076}","{'asian': 23.107457160949707, 'indian': 22.727543115615845, 'black': 24.932172894477844, 'white': 2.9826415702700615, 'middle eastern': 2.5115180760622025, 'latino hispanic': 23.738661408424377}","{'angry': 1.2512204605741317e-07, 'disgust': 7.455702288559947e-16, 'fear': 1.3706379781153188e-09, 'happy': 99.9779760837555, 'sad': 5.0539753715383995e-06, 'surprise': 1.6549819292777102e-07, 'neutral': 0.02201694733230397}",,
22,30,male,white,happy,89.02246907382428,63.83056640625
