Image_No,age,gender,race,emotion,center_dist,space
11,27,"{'male': 99.96284246444702, 'female': 0.03715699422173202}","{'asian': 1.2699850060471363e-07, 'indian': 2.6266661734553054e-05, 'black': 99.99997615814209, 'white': 5.839523200927565e-11, 'middle eastern': 3.4564378811365037e-12, 'latino hispanic': 2.1152915863353883e-06}","{'angry': 14.606214440239336, 'disgust': 0.017528589113456852, 'fear': 2.983159935960766, 'happy': 0.16631010048449638, 'sad': 59.66760871813349, 'surprise': 0.165315459557054, 'neutral': 22.393864237896455}",,
12,39,male,white,fear,43.18564576337837,73.22502136230469
12,39,"{'male': 92.3753559589386, 'female': 7.624645531177521}","{'asian': 3.215276439156957, 'indian': 0.06387075812047623, 'black': 0.03160262627514437, 'white': 92.46878117695078, 'middle eastern': 1.7533430602141546, 'latino hispanic': 2.467121821090958}","{'angry': 4.3754216748666666e-08, 'disgust': 1.6770725283145216e-14, 'fear': 99.99909996981025, 'happy': 7.108997548034734e-06, 'sad': 0.0008944062379812814, 'surprise': 7.310034791324088e-07, 'neutral': 3.435862466162855e-07}",,
13,52,male,white,neutral,42.720018726587654,62.815189361572266
13,52,"{'male': 99.90973472595215, 'female': 0.09027172345668077}","{'asian': 0.0005235639803798122, 'indian': 0.0008947821321639292, 'black': 5.871835989925461e-06, 'white': 99.20828933765229, 'middle eastern': 0.34325509049773756, 'latino hispanic': 0.4470277844087949}","{'angry': 0.11554457014426589, 'disgust': 1.110547653837557e-07, 'fear': 0.07161108660511672, 'happy': 0.008987929322756827, 'sad': 0.41719083674252033, 'surprise': 0.0009101133400690742, 'neutral': 99.38575625419617}",,
14,27,male,white,neutral,53.712196007983145,54.48741912841797
14,27,"{'male': 99.9998927116394, 'female': 0.00010246027386529022}","{'asian': 3.5009894520044327, 'indian': 6.076075509190559, 'black': 1.8301179632544518, 'white': 39.5869106054306, 'middle eastern': 23.920193314552307, 'latino hispanic': 25.08571445941925}","{'angry': 0.03633992746472359, 'disgust': 6.096807780853197e-09, 'fear': 0.011529508628882468, 'happy': 6.213024050794047e-06, 'sad': 0.0488140998641029, 'surprise': 0.0025149533030344173, 'neutral': 99.90079998970032}",,
15,49,male,middle eastern,neutral,5.656854249492381,95.4559326171875
15,49,"{'male': 99.99911785125732, 'female': 0.0008769514352024999}","{'asian': 0.21663974039256573, 'indian': 4.751894995570183, 'black': 0.04064043168909848, 'white': 11.164162307977676, 'middle eastern': 58.030569553375244, 'latino hispanic': 25.79609751701355}","{'angry': 4.884690337460658, 'disgust': 3.599016268585847e-05, 'fear': 0.12859500314116495, 'happy': 0.01082893932988133, 'sad': 9.01625880695932, 'surprise': 0.0008436028613563005, 'neutral': 85.9587482189386}",,
16,33,male,white,neutral,42.44997055358225,89.56127166748047
16,33,"{'male': 99.99971389770508, 'female': 0.00028554907203215407}","{'asian': 1.5405422076582909, 'indian': 2.6113400235772133, 'black': 0.23527636658400297, 'white': 45.08405923843384, 'middle eastern': 22.805984318256378, 'latino hispanic': 27.722802758216858}","{'angry': 0.06553436787258791, 'disgust': 1.79677272667378e-07, 'fear': 0.022148361178110462, 'happy': 0.334015927628632, 'sad': 0.22691559467706648, 'surprise': 0.0013736585879306307, 'neutral': 99.35001130998202}",,
17,31,male,white,sad,21.587033144922902,94.57159042358398
17,31,"{'male': 99.79819059371948, 'female': 0.20180388819426298}","{'asian': 0.005337780748959631, 'indian': 0.0026960982722812332, 'black': 5.5496565209978144e-05, 'white': 96.55541777610779, 'middle eastern': 1.438392885029316, 'latino hispanic': 1.9981052726507187}","{'angry': 0.8876007050275803, 'disgust': 1.6208920783356007e-05, 'fear': 4.217220097780228, 'happy': 0.2585893729701638, 'sad': 66.72043800354004, 'surprise': 0.07374302367679775, 'neutral': 27.842390537261963}",,
18,45,male,white,angry,1.0,99.70703125
