Image_No,age,gender,race,center_dist,space
10,"{'0-2': 3.4349262989508134e-06, '3-9': 0.0006827399374742527, '10-19': 3.9775870740413666, '20-29': 78.97782921791077, '30-39': 16.735583543777466, '40-49': 0.3062548115849495, '50-59': 0.0020468678485485725, '60-69': 1.7596948964637704e-05, '70+': 1.4997247888004495e-07}","{'male': 0.07690899074077606, 'female': 99.92309212684631}","{'white': 0.12873526429757476, 'black': 51.220107078552246, 'latino hispanic': 35.669711232185364, 'asian': 0.594429112970829, 'indian': 12.367282807826996, 'middle eastern': 0.019743756274692714}",,
11,10-19,female,latino hispanic,59.076221950967714,87.28981018066406
11,"{'0-2': 2.368333262836586e-06, '3-9': 0.0619816652033478, '10-19': 65.70764183998108, '20-29': 34.0151846408844, '30-39': 0.2146933227777481, '40-49': 0.0005006011178920744, '50-59': 5.933065150287575e-07, '60-69': 2.5498733680073826e-08, '70+': 6.274185598148518e-10}","{'male': 0.15627490356564522, 'female': 99.84372854232788}","{'white': 11.790809035301208, 'black': 0.259252917021513, 'latino hispanic': 60.003894567489624, 'asian': 0.07759619038552046, 'indian': 1.0418237186968327, 'middle eastern': 26.82662606239319}",,
12,20-29,female,white,112.14722466472367,69.22969818115234
12,"{'0-2': 2.822897471332908e-07, '3-9': 5.937331479799468e-05, '10-19': 0.3628905164077878, '20-29': 60.11582016944885, '30-39': 38.75391483306885, '40-49': 0.76383869163692, '50-59': 0.003463405300863087, '60-69': 1.8566906589967402e-05, '70+': 1.8381436373005045e-07}","{'male': 0.005712063648388721, 'female': 99.99428987503052}","{'white': 99.98297095298767, 'black': 4.215826976405879e-06, 'latino hispanic': 0.0014398505300050601, 'asian': 0.00019004842215508688, 'indian': 1.1724090853704183e-05, 'middle eastern': 0.015383826394099742}",,
13,20-29,female,black,42.941821107167776,87.68892288208008
13,"{'0-2': 1.7680557107269124e-05, '3-9': 0.0041062878153752536, '10-19': 3.1613241881132126, '20-29': 83.22879076004028, '30-39': 13.450407981872559, '40-49': 0.15486640622839332, '50-59': 0.0004846167939831503, '60-69': 1.4609637943863163e-06, '70+': 2.735101867212819e-08}","{'male': 0.013140114606358111, 'female': 99.98685717582703}","{'white': 4.06362623550649e-06, 'black': 99.99906420707703, 'latino hispanic': 0.0004165047357673757, 'asian': 2.3286489181373327e-05, 'indian': 0.00048630399760440923, 'middle eastern': 3.780350255055964e-07}",,
14,20-29,male,black,55.803225713214815,81.951904296875
14,"{'0-2': 0.2461280208081007, '3-9': 9.552524983882904, '10-19': 27.59152054786682, '20-29': 33.11434090137482, '30-39': 19.078329205513, '40-49': 7.278668135404587, '50-59': 1.9968891516327858, '60-69': 0.949318241328001, '70+': 0.1922826631926}","{'male': 71.3015615940094, 'female': 28.6984384059906}","{'white': 1.837855577468872, 'black': 64.09171223640442, 'latino hispanic': 24.15262758731842, 'asian': 8.08240920305252, 'indian': 1.2390303425490856, 'middle eastern': 0.5963713862001896}",,
15,20-29,female,white,40.607881008493905,88.24567794799805
