Image_No,age,gender,race,emotion,center_dist,space
11,39,"{'male': 99.72946047782898, 'female': 0.2705381019040942}","{'asian': 0.7591270815285541, 'indian': 0.36664465156431814, 'black': 0.04164299376337156, 'white': 83.62954659814199, 'middle eastern': 6.4442880683288655, 'latino hispanic': 8.758750856965882}","{'angry': 1.2442977167665958, 'disgust': 4.604065964031179e-05, 'fear': 0.7627221290022135, 'happy': 0.04030563577543944, 'sad': 2.188709005713463, 'surprise': 0.0030176412110449746, 'neutral': 95.76089978218079}",,
12,33,male,white,fear,84.31488599292535,31.639412997903566
12,33,"{'male': 99.992835521698, 'female': 0.007169906893977895}","{'asian': 0.32284168992191553, 'indian': 1.1420163325965405, 'black': 0.1364766387268901, 'white': 48.456308245658875, 'middle eastern': 28.174489736557007, 'latino hispanic': 21.767865121364594}","{'angry': 5.595341619293883, 'disgust': 0.009236699780260746, 'fear': 72.60811598397684, 'happy': 2.0426223626878692, 'sad': 7.141927736035315, 'surprise': 7.618384971426126, 'neutral': 4.984374938532703}",,
13,23,male,white,happy,127.09838708654017,42.945945945945944
13,23,"{'male': 99.79642629623413, 'female': 0.20357312168926}","{'asian': 6.711191247177339e-06, 'indian': 1.6522089651971328e-05, 'black': 3.208412979738284e-08, 'white': 99.58757758140564, 'middle eastern': 0.282697263173759, 'latino hispanic': 0.12970310635864735}","{'angry': 2.416510874702976e-11, 'disgust': 3.235287392056625e-20, 'fear': 4.00294821168617e-09, 'happy': 99.9999463558165, 'sad': 2.0126667158495664e-09, 'surprise': 1.9241741436896306e-05, 'neutral': 3.8105371797677113e-05}",,
14,28,female,white,happy,16.970562748477143,56.90666666666667
14,28,"{'male': 0.021004605514463037, 'female': 99.97900128364563}","{'asian': 1.9687830917497764, 'indian': 0.010312116727045791, 'black': 0.0016013196637794218, 'white': 92.49754637509031, 'middle eastern': 1.0182266772417214, 'latino hispanic': 4.503530472096148}","{'angry': 2.285664061030984e-06, 'disgust': 8.041370783313026e-12, 'fear': 8.566554554515932e-06, 'happy': 99.97411966169594, 'sad': 1.5573621543588034e-06, 'surprise': 0.021508843755876646, 'neutral': 0.004359983618756711}",,
15,38,male,white,neutral,41.19465984809196,62.6797124600639
15,38,"{'male': 94.3596601486206, 'female': 5.640340968966484}","{'asian': 42.57202402186537, 'indian': 0.24182749025240483, 'black': 1.400135634102561, 'white': 47.230678631703775, 'middle eastern': 2.369906335765501, 'latino hispanic': 6.185432519640477}","{'angry': 1.4233467530278378e-13, 'disgust': 2.5672222293856717e-20, 'fear': 2.122131270709815e-06, 'happy': 0.0007637141607119702, 'sad': 1.5004866327217314e-05, 'surprise': 0.08970451890490949, 'neutral': 99.90952014923096}",,
16,30,female,white,happy,18.027756377319946,55.782967032967036
16,30,"{'male': 3.5385020077228546, 'female': 96.46149277687073}","{'asian': 22.496101558673196, 'indian': 3.1187159948091514, 'black': 0.9451111583279183, 'white': 46.37204749917418, 'middle eastern': 12.286768879083528, 'latino hispanic': 14.78125127777442}","{'angry': 0.0073381241236347705, 'disgust': 2.156507434847299e-05, 'fear': 10.318874567747116, 'happy': 45.17189562320709, 'sad': 0.2267624717205763, 'surprise': 0.05655689164996147, 'neutral': 44.21855807304382}",,
17,31,female,white,happy,6.324555320336759,95.43091334894613
17,31,"{'male': 5.773078459725411e-07, 'female': 100.0}","{'asian': 0.12075073043248291, 'indian': 0.09192672510014771, 'black': 0.005193154101400892, 'white': 73.79321172318319, 'middle eastern': 4.176901900541556, 'latino hispanic': 21.812008701323425}","{'angry': 5.469776230477737e-12, 'disgust': 8.73030768955648e-17, 'fear': 1.5706211004579663e-12, 'happy': 99.29575319860895, 'sad': 1.274704529080826e-07, 'surprise': 7.517153570251299e-07, 'neutral': 0.7042468945233163}",,
18,25,male,white,disgust,7.0710678118654755,90.48958333333333
18,25,"{'male': 99.73796606063843, 'female': 0.26204041205346584}","{'asian': 32.97547996044159, 'indian': 1.060798205435276, 'black': 0.12358037056401372, 'white': 53.2046377658844, 'middle eastern': 6.0827042907476425, 'latino hispanic': 6.55280202627182}","{'angry': 8.962651454684398, 'disgust': 87.85958669059039, 'fear': 2.3537660501180975, 'happy': 0.001349310664668584, 'sad': 0.8208574332339942, 'surprise': 0.0002315524357300649, 'neutral': 0.001561606138260922}",,
19,27,male,white,happy,3.1622776601683795,81.93604148660329
19,27,"{'male': 90.49274921417236, 'female': 9.507252275943756}","{'asian': 5.412190780043602, 'indian': 4.793957993388176, 'black': 2.168573997914791, 'white': 43.79163384437561, 'middle eastern': 22.965048253536224, 'latino hispanic': 20.868590474128723}","{'angry': 7.978057921673106e-06, 'disgust': 1.2080415886655848e-08, 'fear': 0.055701170004671216, 'happy': 99.83941910736789, 'sad': 0.05887068811380126, 'surprise': 0.0007609849487778949, 'neutral': 0.04524268400023091}",,
20,31,female,white,happy,34.132096331752024,50.98823529411764
20,31,"{'male': 1.9912123150334082e-05, 'female': 99.99997615814209}","{'asian': 2.358776292425244e-10, 'indian': 2.882776871471654e-10, 'black': 2.2973821887840704e-13, 'white': 99.99908804888058, 'middle eastern': 0.00015865690365693703, 'latino hispanic': 0.000753521771351009}","{'angry': 1.168818464236665e-06, 'disgust': 5.907205605747146e-11, 'fear': 8.008141350046571e-06, 'happy': 97.84117937088013, 'sad': 6.81018491377472e-05, 'surprise': 0.0009585970474290662, 'neutral': 2.157783880829811}",,
21,28,male,asian,happy,4.123105625617661,97.11703703703704
21,28,"{'male': 98.69410395622253, 'female': 1.3059004209935665}","{'asian': 99.76927044757957, 'indian': 6.596939452107065e-06, 'black': 5.027769600815357e-06, 'white': 0.21764307482325138, 'middle eastern': 0.0004967199719375638, 'latino hispanic': 0.012577268309062027}","{'angry': 3.4190546721220016, 'disgust': 9.068231499043122e-07, 'fear': 4.9790289252996445, 'happy': 91.43698215484619, 'sad': 0.16492948634549975, 'surprise': 4.6511454626987914e-11, 'neutral': 2.301356971656787e-06}",,
22,31,female,white,happy,32.0624390837628,59.377162629757784
22,31,"{'male': 8.804373123894038e-05, 'female': 99.99991655349731}","{'asian': 0.12712152674794197, 'indian': 0.8589013479650021, 'black': 0.04043743247166276, 'white': 63.66678476333618, 'middle eastern': 17.724770307540894, 'latino hispanic': 17.581991851329803}","{'angry': 0.0019661438273033127, 'disgust': 1.324626963672415e-07, 'fear': 0.00015537577837676508, 'happy': 99.87398982048035, 'sad': 0.00365957930625882, 'surprise': 0.00025160425138892606, 'neutral': 0.1199769671075046}",,
23,26,male,white,neutral,2.23606797749979,81.85747663551402
23,26,"{'male': 99.92607235908508, 'female': 0.073929043719545}","{'asian': 4.694907647067764, 'indian': 5.310572255287901, 'black': 1.4195623722411617, 'white': 38.219478024213196, 'middle eastern': 26.596812999058546, 'latino hispanic': 23.75866912357027}","{'angry': 0.009233541641151533, 'disgust': 1.0418304413617463e-08, 'fear': 0.022510495909955353, 'happy': 0.07189097814261913, 'sad': 0.18653477309271693, 'surprise': 0.0024522722014808096, 'neutral': 99.7073769569397}",,
24,31,male,white,happy,13.038404810405298,66.92045454545455
24,31,"{'male': 99.99644756317139, 'female': 0.003547412052284926}","{'asian': 0.0484245247207582, 'indian': 0.8718181401491165, 'black': 0.044445914682000875, 'white': 48.2396274805069, 'middle eastern': 43.28802525997162, 'latino hispanic': 7.5076572597026825}","{'angry': 2.112318016588688, 'disgust': 0.0011991803148703184, 'fear': 1.3379929587244987, 'happy': 60.38619875907898, 'sad': 25.516822934150696, 'surprise': 8.565649390220642, 'neutral': 2.0798178389668465}",,
25,33,female,white,fear,1.0,93.40444444444445
25,33,"{'male': 0.0024484848836436868, 'female': 99.99755620956421}","{'asian': 3.394363512054105e-11, 'indian': 4.270007267150218e-12, 'black': 2.427878660855828e-15, 'white': 99.99988079071045, 'middle eastern': 1.9634435943771678e-05, 'latino hispanic': 0.00010369948313382338}","{'angry': 17.356404662132263, 'disgust': 0.23125347215682268, 'fear': 51.23050808906555, 'happy': 0.635693920776248, 'sad': 15.19211083650589, 'surprise': 0.8897655643522739, 'neutral': 14.46426808834076}",,
26,31,male,white,happy,72.42237223399962,78.00837364911251
26,31,"{'male': 90.25151133537292, 'female': 9.748492389917374}","{'asian': 2.3414425128823053e-07, 'indian': 1.1722255509975855e-05, 'black': 2.6629028695585136e-09, 'white': 99.05754918203051, 'middle eastern': 0.8124158270606892, 'latino hispanic': 0.13002124225847378}","{'angry': 1.1629775600691345e-15, 'disgust': 4.9674127467507927e-23, 'fear': 6.090240509832937e-16, 'happy': 99.99951124191284, 'sad': 2.699842768715487e-13, 'surprise': 3.181595883017946e-11, 'neutral': 0.0004912341864837799}",,
27,32,male,white,happy,4.242640687119286,96.92407932011331
27,32,"{'male': 99.9982237815857, 'female': 0.001775384953361936}","{'asian': 0.11809084098786116, 'indian': 0.6076793652027845, 'black': 0.01814146962715313, 'white': 64.85589146614075, 'middle eastern': 22.27032035589218, 'latino hispanic': 12.129873037338257}","{'angry': 0.0003227222123314277, 'disgust': 7.798929325020676e-20, 'fear': 8.697330355911248e-09, 'happy': 99.99967813491821, 'sad': 1.2044998679017205e-09, 'surprise': 7.342429615697643e-10, 'neutral': 3.961268646435201e-06}",,
28,45,male,white,sad,4.0,84.56468955948665
