Image_No,age,gender,race,center_dist,space
10,"{'0-2': 4.909175999046056e-06, '3-9': 0.00019448859802650986, '10-19': 0.009990832768380642, '20-29': 9.244992583990097, '30-39': 81.81309700012207, '40-49': 8.907780051231384, '50-59': 0.023884515394456685, '60-69': 5.125484108248202e-05, '70+': 1.205820421290582e-06}","{'male': 99.99853372573853, 'female': 0.0014606204786105081}","{'white': 99.27950501441956, 'black': 8.701149454282131e-05, 'latino hispanic': 0.031639059307053685, 'asian': 0.0008626830094726756, 'indian': 0.01965506817214191, 'middle eastern': 0.6682490464299917}",,
11,20-29,male,white,6.708203932499369,89.46609497070312
11,"{'0-2': 1.591576932469252e-05, '3-9': 0.0012044747563777491, '10-19': 0.1116997329518199, '20-29': 61.35898232460022, '30-39': 38.313889503479004, '40-49': 0.21393082570284605, '50-59': 0.000271348199021304, '60-69': 8.416029650959445e-07, '70+': 5.461073260271121e-08}","{'male': 99.69007968902588, 'female': 0.30992161482572556}","{'white': 99.95969533920288, 'black': 1.4969998574088095e-05, 'latino hispanic': 0.0028476642910391092, 'asian': 5.961236411167192e-05, 'indian': 0.00018712303244683426, 'middle eastern': 0.03720323147717863}",,
12,40-49,male,white,10.816653826391969,62.9425048828125
12,"{'0-2': 6.71943837460276e-05, '3-9': 0.00011660646350719617, '10-19': 0.02317020553164184, '20-29': 2.5127463042736053, '30-39': 24.91476833820343, '40-49': 56.3065767288208, '50-59': 15.969890356063843, '60-69': 0.2702647587284446, '70+': 0.002385742118349299}","{'male': 99.99959468841553, 'female': 0.00040311338125320617}","{'white': 66.42767786979675, 'black': 0.013358861906453967, 'latino hispanic': 2.998770959675312, 'asian': 0.0024116752683767118, 'indian': 0.49096127040684223, 'middle eastern': 30.06681501865387}",,
13,20-29,female,middle eastern,39.446165846632034,40.61241149902344
13,"{'0-2': 3.755248911829767e-06, '3-9': 0.005662169132847339, '10-19': 6.30185529589653, '20-29': 89.47227001190186, '30-39': 4.188054800033569, '40-49': 0.032027781708166, '50-59': 0.00012100407502657617, '60-69': 1.8683994795765102e-06, '70+': 3.2293884233425274e-08}","{'male': 0.004397012526169419, 'female': 99.99560713768005}","{'white': 19.302013516426086, 'black': 0.17684423364698887, 'latino hispanic': 8.110926300287247, 'asian': 0.012442286242730916, 'indian': 0.4499242175370455, 'middle eastern': 71.94784879684448}",,
14,30-39,male,white,20.0,63.812255859375
14,"{'0-2': 0.00010166393167310162, '3-9': 0.0020328145183157176, '10-19': 0.08199282456189394, '20-29': 35.97584664821625, '30-39': 61.813145875930786, '40-49': 2.1173279732465744, '50-59': 0.009495762787992135, '60-69': 5.624447680929734e-05, '70+': 1.0554563445452914e-06}","{'male': 99.98377561569214, 'female': 0.016218991368077695}","{'white': 63.459962606430054, 'black': 0.1029717386700213, 'latino hispanic': 23.169879615306854, 'asian': 0.022980810899753124, 'indian': 5.265796557068825, 'middle eastern': 7.9784102737903595}",,
15,30-39,male,black,32.69556544854363,83.63800048828125
15,"{'0-2': 4.038369638692529e-06, '3-9': 0.0004818000888917595, '10-19': 0.3088787430897355, '20-29': 46.73382639884949, '30-39': 50.00074505805969, '40-49': 2.9391102492809296, '50-59': 0.016845494974404573, '60-69': 0.00010891548072322621, '70+': 4.266833641963785e-06}","{'male': 99.99148845672607, 'female': 0.008509956387570128}","{'white': 0.00015459656879102113, 'black': 99.97316598892212, 'latino hispanic': 0.0013867699635738973, 'asian': 8.01839945552274e-06, 'indian': 0.02515291271265596, 'middle eastern': 0.00013204374909037142}",,
16,30-39,male,latino hispanic,40.459856648287825,45.9716796875
16,"{'0-2': 7.293439807654067e-05, '3-9': 0.0004584460384648992, '10-19': 0.016182252147700638, '20-29': 6.224209815263748, '30-39': 70.63751816749573, '40-49': 22.770147025585175, '50-59': 0.34952000714838505, '60-69': 0.001870164487627335, '70+': 2.0969078207144776e-05}","{'male': 99.9998390674591, 'female': 0.00016731228242861107}","{'white': 28.1442791223526, 'black': 0.13675721129402518, 'latino hispanic': 31.586313247680664, 'asian': 0.01217833996633999, 'indian': 25.66992938518524, 'middle eastern': 14.450539648532867}",,
17,20-29,male,white,56.0,77.16865539550781
17,"{'0-2': 0.4451365675777197, '3-9': 4.221421480178833, '10-19': 17.04561561346054, '20-29': 42.63545274734497, '30-39': 24.41689521074295, '40-49': 8.264818042516708, '50-59': 2.153189107775688, '60-69': 0.6120751146227121, '70+': 0.20540261175483465}","{'male': 68.35935711860657, 'female': 31.64064586162567}","{'white': 41.12982451915741, 'black': 6.004130095243454, 'latino hispanic': 33.16222131252289, 'asian': 5.800437554717064, 'indian': 3.819100186228752, 'middle eastern': 10.084284096956253}",,
18,30-39,male,white,34.713109915419565,83.441162109375
18,"{'0-2': 9.374248932658702e-07, '3-9': 3.667163639420323e-05, '10-19': 0.034335325472056866, '20-29': 39.82885479927063, '30-39': 58.877432346343994, '40-49': 1.2564893811941147, '50-59': 0.0028405071134329773, '60-69': 6.462695978370903e-06, '70+': 1.0166006925160787e-07}","{'male': 99.99181032180786, 'female': 0.008189483196474612}","{'white': 99.4163453578949, 'black': 0.00026804973458638415, 'latino hispanic': 0.1415434991940856, 'asian': 0.0001380710614284908, 'indian': 0.03766118607018143, 'middle eastern': 0.4040429834276438}",,
19,20-29,female,white,30.528675044947498,28.939056396484375
19,"{'0-2': 5.536170633035908e-06, '3-9': 0.002501541530364193, '10-19': 2.696562185883522, '20-29': 83.96779894828796, '30-39': 13.170872628688812, '40-49': 0.16130137955769897, '50-59': 0.0009367653547087684, '60-69': 1.790496071407688e-05, '70+': 3.297921491451916e-07}","{'male': 0.04061398503836244, 'female': 99.95938539505005}","{'white': 49.9982625246048, 'black': 0.43129283003509045, 'latino hispanic': 37.5648558139801, 'asian': 0.144952570553869, 'indian': 0.5351547617465258, 'middle eastern': 11.32548376917839}",,
20,30-39,male,white,55.0,78.24974060058594
20,"{'0-2': 2.1120580129263544e-05, '3-9': 0.0005339123163139448, '10-19': 0.00894986733328551, '20-29': 17.33352541923523, '30-39': 80.49227595329285, '40-49': 2.162272110581398, '50-59': 0.0024086393750621937, '60-69': 7.720516492781826e-06, '70+': 2.426877587780041e-07}","{'male': 99.99924302101135, 'female': 0.0007620069027325371}","{'white': 99.62584972381592, 'black': 9.859558076641406e-05, 'latino hispanic': 0.11994963278993964, 'asian': 0.0002724088972172467, 'indian': 0.04243739531375468, 'middle eastern': 0.21140309982001781}",,
21,40-49,male,white,129.07362240210043,15.8233642578125
21,"{'0-2': 0.0006713421043968992, '3-9': 0.006193475564941764, '10-19': 0.50377631559968, '20-29': 9.700097888708115, '30-39': 29.184144735336304, '40-49': 38.74228596687317, '50-59': 20.77290713787079, '60-69': 1.0677960701286793, '70+': 0.022123180679045618}","{'male': 99.92905259132385, 'female': 0.0709446961991489}","{'white': 62.87262439727783, 'black': 5.161772295832634, 'latino hispanic': 21.17675393819809, 'asian': 4.900436103343964, 'indian': 1.6444006934762, 'middle eastern': 4.244013875722885}",,
22,20-29,male,white,89.02246907382428,63.83056640625
22,"{'0-2': 4.912295707981684e-05, '3-9': 0.001991569843085017, '10-19': 2.1523749455809593, '20-29': 71.172034740448, '30-39': 24.346192181110382, '40-49': 2.2663865238428116, '50-59': 0.0597995996940881, '60-69': 0.0011587630069698207, '70+': 1.9721733224287163e-05}","{'male': 99.74039793014526, 'female': 0.25960272178053856}","{'white': 57.72815942764282, 'black': 0.0590602052398026, 'latino hispanic': 16.932210326194763, 'asian': 0.008881083340384066, 'indian': 0.43494529090821743, 'middle eastern': 24.836745858192444}",,
23,30-39,male,white,91.02197536858888,64.01710510253906
23,"{'0-2': 0.00012320419955358375, '3-9': 0.001997422987187747, '10-19': 0.017683635815046728, '20-29': 25.113964080810547, '30-39': 73.0882465839386, '40-49': 1.7756227403879166, '50-59': 0.002354053685849067, '60-69': 1.0359232049950151e-05, '70+': 2.1494710455982613e-07}","{'male': 99.99932050704956, 'female': 0.0006820143426011782}","{'white': 89.09358382225037, 'black': 0.0021506575649254955, 'latino hispanic': 2.29851845651865, 'asian': 0.007665148586966097, 'indian': 0.6931109353899956, 'middle eastern': 7.90497362613678}",,
24,20-29,male,white,15.03329637837291,72.56698608398438
24,"{'0-2': 3.4867053244624913e-06, '3-9': 0.00015055435369504266, '10-19': 0.09129909449256957, '20-29': 61.887240409851074, '30-39': 37.58581280708313, '40-49': 0.4346761852502823, '50-59': 0.000822356014396064, '60-69': 6.602748214845633e-06, '70+': 1.2475906974174222e-07}","{'male': 99.99963045120239, 'female': 0.00036641272345150355}","{'white': 97.60279059410095, 'black': 0.006098053199821152, 'latino hispanic': 0.6191384047269821, 'asian': 0.002354940625082236, 'indian': 0.04287204938009381, 'middle eastern': 1.7267381772398949}",,
25,20-29,female,white,32.202484376209235,61.963653564453125
25,"{'0-2': 7.098806520389189e-06, '3-9': 0.034605193650349975, '10-19': 14.237771928310394, '20-29': 81.27926588058472, '30-39': 4.420824721455574, '40-49': 0.02744362282101065, '50-59': 7.627913305441325e-05, '60-69': 1.014021133727283e-06, '70+': 3.481702703922451e-08}","{'male': 0.014732504496350884, 'female': 99.985271692276}","{'white': 94.19724345207214, 'black': 0.03928313963115215, 'latino hispanic': 5.316416546702385, 'asian': 0.002462452175677754, 'indian': 0.0892181764356792, 'middle eastern': 0.3553758841007948}",,
26,30-39,male,white,90.00555538409836,64.13230895996094
26,"{'0-2': 1.3991386538236839e-05, '3-9': 0.00023310963115363847, '10-19': 0.06244793185032904, '20-29': 25.539591908454895, '30-39': 68.29124689102173, '40-49': 6.075507774949074, '50-59': 0.030810380121693015, '60-69': 0.0001471666564611951, '70+': 1.335569876914633e-06}","{'male': 99.9998390674591, 'female': 0.0001618090891497559}","{'white': 61.56989932060242, 'black': 0.01640038244659081, 'latino hispanic': 10.88145300745964, 'asian': 0.003120858673355542, 'indian': 7.5867243111133575, 'middle eastern': 19.94241178035736}",,
27,30-39,male,white,7.280109889280519,96.307373046875
27,"{'0-2': 1.2042201902318084e-06, '3-9': 0.00011539078741407138, '10-19': 0.030133072868920863, '20-29': 34.059515595436096, '30-39': 64.60599899291992, '40-49': 1.3027451001107693, '50-59': 0.0014779709090362303, '60-69': 5.220084986490292e-06, '70+': 6.12670192357001e-08}","{'male': 99.99839663505554, 'female': 0.0016014821085263975}","{'white': 36.768653988838196, 'black': 0.11787642724812031, 'latino hispanic': 18.317250907421112, 'asian': 0.004064940731041133, 'indian': 10.849642753601074, 'middle eastern': 33.942508697509766}",,
28,20-29,male,latino hispanic,79.30952023559341,62.06207275390625
28,"{'0-2': 0.07159554515965283, '3-9': 2.526242658495903, '10-19': 27.534011006355286, '20-29': 43.04932951927185, '30-39': 18.13458949327469, '40-49': 6.454323977231979, '50-59': 1.1620156466960907, '60-69': 0.7285476662218571, '70+': 0.3393410239368677}","{'male': 84.41709280014038, 'female': 15.582910180091858}","{'white': 13.32186907529831, 'black': 7.996702939271927, 'latino hispanic': 38.41536343097687, 'asian': 22.000086307525635, 'indian': 5.9481654316186905, 'middle eastern': 12.317810952663422}",,
29,30-39,male,white,101.00495037373169,60.0738525390625
29,"{'0-2': 1.4275569526489562e-05, '3-9': 0.0002387760787314619, '10-19': 0.02390737645328045, '20-29': 19.03403401374817, '30-39': 78.20011973381042, '40-49': 2.733568660914898, '50-59': 0.008076273661572486, '60-69': 4.338510848356236e-05, '70+': 9.116820187671237e-07}","{'male': 99.99956488609314, 'female': 0.00043873883441847283}","{'white': 90.42113423347473, 'black': 0.6738843861967325, 'latino hispanic': 6.672848761081696, 'asian': 0.0035619934351416305, 'indian': 0.35916126798838377, 'middle eastern': 1.8694158643484116}",,
30,20-29,male,white,39.319206502674994,81.634521484375
30,"{'0-2': 5.583076223558692e-07, '3-9': 0.00016044183439589688, '10-19': 0.17803945811465383, '20-29': 79.4264554977417, '30-39': 20.290912687778473, '40-49': 0.10434502037242055, '50-59': 8.746337698539719e-05, '60-69': 2.796954667871887e-07, '70+': 8.573416976354054e-09}","{'male': 99.99837875366211, 'female': 0.0016190042515518144}","{'white': 99.98747706413269, 'black': 7.476222663171939e-06, 'latino hispanic': 0.004437639290699735, 'asian': 7.256770828689696e-06, 'indian': 0.0002383797436777968, 'middle eastern': 0.007826434739399701}",,
31,50-59,male,white,96.04686356149273,61.30943298339844
31,"{'0-2': 0.0008723546670807991, '3-9': 0.00017333468349534087, '10-19': 0.00626926266704686, '20-29': 0.2223894465714693, '30-39': 1.2849797494709492, '40-49': 8.148065954446793, '50-59': 70.95592617988586, '60-69': 18.93664300441742, '70+': 0.4446839913725853}","{'male': 99.99970197677612, 'female': 0.0002961663540190784}","{'white': 97.22644090652466, 'black': 0.02950700290966779, 'latino hispanic': 0.06993775605224073, 'asian': 0.019877293379977345, 'indian': 0.3170998301357031, 'middle eastern': 2.337151952087879}",,
32,20-29,male,white,66.24198064671678,62.15972900390625
32,"{'0-2': 2.502734908205184e-06, '3-9': 0.00010440296591696097, '10-19': 0.14795048628002405, '20-29': 80.22317290306091, '30-39': 19.20001208782196, '40-49': 0.42487476021051407, '50-59': 0.003846178879030049, '60-69': 4.1493717617413495e-05, '70+': 1.6333480346020224e-06}","{'male': 99.99827146530151, 'female': 0.0017348114852211438}","{'white': 99.96874332427979, 'black': 0.00018905766410171054, 'latino hispanic': 0.011670881212921813, 'asian': 0.00029078730676701525, 'indian': 0.0008334076483151875, 'middle eastern': 0.018276262562721968}",,
33,30-39,male,white,6.0,97.265625
33,"{'0-2': 9.574572459314368e-05, '3-9': 0.003050067971344106, '10-19': 0.25199882220476866, '20-29': 42.460277676582336, '30-39': 54.520946741104126, '40-49': 2.7313176542520523, '50-59': 0.032038980862125754, '60-69': 0.00026008895019913325, '70+': 1.2059054199653474e-05}","{'male': 99.9993085861206, 'female': 0.000689594708092045}","{'white': 99.91439580917358, 'black': 0.0028147607736173086, 'latino hispanic': 0.04425431543495506, 'asian': 0.0006538845809700433, 'indian': 0.0089564586232882, 'middle eastern': 0.028921980992890894}",,
34,30-39,male,white,152.6892268629323,33.41522216796875
34,"{'0-2': 2.7766847665589012e-05, '3-9': 0.0012374366633594036, '10-19': 0.4081395920366049, '20-29': 46.02472186088562, '30-39': 50.599563121795654, '40-49': 2.926604636013508, '50-59': 0.0392992835259065, '60-69': 0.00039025558180583175, '70+': 1.103998172879983e-05}","{'male': 99.95453953742981, 'female': 0.045456463703885674}","{'white': 96.03683352470398, 'black': 0.009882129961624742, 'latino hispanic': 2.2294435650110245, 'asian': 0.03439052379690111, 'indian': 0.13059423072263598, 'middle eastern': 1.558852382004261}",,
35,20-29,male,white,6.0,96.10748291015625
35,"{'0-2': 3.5503276762938185e-06, '3-9': 0.00011071956578234676, '10-19': 0.2417517127469182, '20-29': 58.08714032173157, '30-39': 39.601531624794006, '40-49': 2.0404264330863953, '50-59': 0.028730687336064875, '60-69': 0.0002891290932893753, '70+': 7.824361603070429e-06}","{'male': 99.9643325805664, 'female': 0.03566522209439427}","{'white': 84.99138951301575, 'black': 0.04647508612833917, 'latino hispanic': 10.733772814273834, 'asian': 0.10505411773920059, 'indian': 2.907821163535118, 'middle eastern': 1.2154830619692802}",,
36,30-39,male,white,28.861739379323623,60.05859375
36,"{'0-2': 3.4409559646064736e-06, '3-9': 9.342421094515885e-05, '10-19': 0.06227029953151941, '20-29': 39.8026317358017, '30-39': 56.895798444747925, '40-49': 3.2231535762548447, '50-59': 0.015970018284861, '60-69': 7.277425311258412e-05, '70+': 1.6128744562138309e-06}","{'male': 99.99732971191406, 'female': 0.0026724859708338045}","{'white': 99.97438192367554, 'black': 1.5322342505896813e-05, 'latino hispanic': 0.010491419379832223, 'asian': 0.0008391049959755037, 'indian': 0.00022121203073766083, 'middle eastern': 0.014054056373424828}",,
37,30-39,male,middle eastern,56.00892785976178,78.16734313964844
37,"{'0-2': 2.487298047526565e-05, '3-9': 0.0003340663170092739, '10-19': 0.05496586672961712, '20-29': 22.804677486419678, '30-39': 72.09921479225159, '40-49': 5.017387121915817, '50-59': 0.02326128596905619, '60-69': 0.0001369656160932209, '70+': 2.5224091260156456e-06}","{'male': 99.99913573265076, 'female': 0.000865260972204851}","{'white': 29.558053612709045, 'black': 0.012250700092408806, 'latino hispanic': 5.99907822906971, 'asian': 0.019726739265024662, 'indian': 5.533007904887199, 'middle eastern': 58.87788534164429}",,
38,10-19,male,black,43.0,82.489013671875
38,"{'0-2': 0.015645334497094154, '3-9': 10.083439946174622, '10-19': 77.03145742416382, '20-29': 10.520529001951218, '30-39': 1.776808314025402, '40-49': 0.477838097140193, '50-59': 0.06382734281942248, '60-69': 0.024106603814288974, '70+': 0.006349527393467724}","{'male': 67.62082576751709, 'female': 32.37917721271515}","{'white': 0.39511648938059807, 'black': 70.0789749622345, 'latino hispanic': 16.490136086940765, 'asian': 5.670735239982605, 'indian': 5.53952232003212, 'middle eastern': 1.8255138769745827}",,
39,30-39,male,middle eastern,5.385164807134505,97.08938598632812
39,"{'0-2': 5.776183797934209e-05, '3-9': 0.00023043760393193224, '10-19': 0.01768439688021317, '20-29': 3.633986786007881, '30-39': 64.77702856063843, '40-49': 30.84563910961151, '50-59': 0.7212003227323294, '60-69': 0.004134825576329604, '70+': 3.958163574679929e-05}","{'male': 99.99929070472717, 'female': 0.0007069689672789536}","{'white': 15.197870135307312, 'black': 0.30572740361094475, 'latino hispanic': 9.844053536653519, 'asian': 0.0070322050305549055, 'indian': 6.759525835514069, 'middle eastern': 67.88578629493713}",,
40,30-39,male,white,13.038404810405298,94.93141174316406
40,"{'0-2': 2.0689205015855805e-06, '3-9': 7.433907853737765e-05, '10-19': 0.014377667685039341, '20-29': 31.68349862098694, '30-39': 66.85508489608765, '40-49': 1.4435605145990849, '50-59': 0.0033971919037867337, '60-69': 6.5513440006270685e-06, '70+': 2.0424186786272003e-07}","{'male': 99.9989926815033, 'female': 0.0010099322025780566}","{'white': 99.91167187690735, 'black': 0.0002078970510410727, 'latino hispanic': 0.02145339676644653, 'asian': 3.919808477803599e-05, 'indian': 0.0013122596101311501, 'middle eastern': 0.0653150025755167}",,
41,30-39,male,white,93.0859817588019,49.298858642578125
41,"{'0-2': 0.00030851870178594254, '3-9': 0.0037414200050989166, '10-19': 0.29170927591621876, '20-29': 40.49758315086365, '30-39': 54.71067428588867, '40-49': 4.428871348500252, '50-59': 0.06585477385669947, '60-69': 0.0012248413440829609, '70+': 3.5400205433688825e-05}","{'male': 99.8927116394043, 'female': 0.10728854686021805}","{'white': 94.71365213394165, 'black': 0.0012038479326292872, 'latino hispanic': 0.3738163970410824, 'asian': 0.19820895977318287, 'indian': 0.10151539463549852, 'middle eastern': 4.611601680517197}",,
42,20-29,male,white,10.19803902718557,94.195556640625
42,"{'0-2': 8.417837094043534e-07, '3-9': 8.996996712085092e-05, '10-19': 0.11957944370806217, '20-29': 70.65566182136536, '30-39': 28.49867045879364, '40-49': 0.7215217221528292, '50-59': 0.004466706013772637, '60-69': 1.4417312854675401e-05, '70+': 6.525589846262392e-07}","{'male': 99.9931275844574, 'female': 0.006873090751469135}","{'white': 99.99949932098389, 'black': 1.3805112608622494e-06, 'latino hispanic': 0.0002499094534869073, 'asian': 6.201131164118578e-07, 'indian': 2.072368658900814e-05, 'middle eastern': 0.00024085554741759552}",,
43,30-39,male,white,132.90974381135493,41.912841796875
43,"{'0-2': 9.272296352946796e-06, '3-9': 9.405706578036188e-05, '10-19': 0.011803235247498378, '20-29': 13.091292977333069, '30-39': 79.81710433959961, '40-49': 7.0437997579574585, '50-59': 0.03573093272279948, '60-69': 0.00017024674434651388, '70+': 2.981209945573937e-06}","{'male': 99.99879002571106, 'female': 0.0012083357432857156}","{'white': 70.67015767097473, 'black': 0.062276364769786596, 'latino hispanic': 5.063333734869957, 'asian': 0.003519170786603354, 'indian': 1.568026840686798, 'middle eastern': 22.63268530368805}",,
44,20-29,male,indian,12.041594578792294,46.497344970703125
44,"{'0-2': 0.0036016717785969377, '3-9': 0.43404893949627876, '10-19': 1.745176501572132, '20-29': 56.555819511413574, '30-39': 40.15759825706482, '40-49': 1.1022512800991535, '50-59': 0.00147536984513863, '60-69': 2.4945731524894654e-05, '70+': 3.987486785206329e-07}","{'male': 99.78753924369812, 'female': 0.2124612918123603}","{'white': 4.104527458548546, 'black': 0.012555858120322227, 'latino hispanic': 19.931422173976898, 'asian': 0.061717384960502386, 'indian': 73.27989339828491, 'middle eastern': 2.609887346625328}",,
45,10-19,male,asian,20.024984394500787,91.6473388671875
45,"{'0-2': 1.1169741861522198, '3-9': 13.270410895347595, '10-19': 19.17055994272232, '20-29': 19.03931051492691, '30-39': 14.977434277534485, '40-49': 12.40597665309906, '50-59': 9.391151368618011, '60-69': 8.150889724493027, '70+': 2.4772901087999344}","{'male': 95.35852074623108, 'female': 4.641479998826981}","{'white': 32.200124859809875, 'black': 5.653968453407288, 'latino hispanic': 22.744566202163696, 'asian': 35.790616273880005, 'indian': 1.3882127590477467, 'middle eastern': 2.222517505288124}",,
46,30-39,male,indian,14.866068747318504,86.94305419921875
46,"{'0-2': 1.9492598823944718e-05, '3-9': 0.00019534477360139135, '10-19': 0.026826761313714087, '20-29': 8.756281435489655, '30-39': 78.76673340797424, '40-49': 12.328549474477768, '50-59': 0.1209863112308085, '60-69': 0.0003994824055553181, '70+': 9.01941206166157e-06}","{'male': 99.99821782112122, 'female': 0.001786674874892924}","{'white': 0.10842112824320793, 'black': 11.031496524810791, 'latino hispanic': 1.5821931883692741, 'asian': 0.02373555034864694, 'indian': 86.06195449829102, 'middle eastern': 1.192203164100647}",,
47,3-9,male,latino hispanic,41.97618372363071,75.85716247558594
