Image_No,age,gender,race,emotion,center_dist,space
11,27,"{'male': 77.42246985435486, 'female': 22.577524185180664}","{'asian': 2.307996850192359, 'indian': 1.5139377647005179, 'black': 0.31653986802189754, 'white': 34.02001762509451, 'middle eastern': 11.738921656544306, 'latino hispanic': 50.10258854046992}","{'angry': 2.7316147122036227e-07, 'disgust': 6.224326021838688e-18, 'fear': 1.1143956157866342e-05, 'happy': 7.594603168570302e-07, 'sad': 0.005769322160631418, 'surprise': 3.6880791753901576e-07, 'neutral': 99.99421834945679}",,
12,33,female,white,happy,112.14722466472367,69.22969818115234
12,33,"{'male': 4.764262371281802e-05, 'female': 99.99995231628418}","{'asian': 1.361529053563182e-10, 'indian': 1.3455949679150314e-10, 'black': 4.2589511419660766e-15, 'white': 99.99997615814209, 'middle eastern': 1.071520259188219e-05, 'latino hispanic': 1.0279739370844254e-05}","{'angry': 7.86985252736241, 'disgust': 0.031504839107039766, 'fear': 0.0558528475455609, 'happy': 65.65011330248277, 'sad': 0.5107669768651696, 'surprise': 0.012045780002940298, 'neutral': 25.86987028954867}",,
13,31,male,black,happy,42.941821107167776,87.68892288208008
13,31,"{'male': 75.39207935333252, 'female': 24.60792362689972}","{'asian': 0.009876093099592254, 'indian': 0.0004451862878340762, 'black': 99.98964071273804, 'white': 2.95659191573705e-09, 'middle eastern': 7.529680546604356e-11, 'latino hispanic': 3.848272740469838e-05}","{'angry': 31.439322233200073, 'disgust': 2.8881711244821417e-06, 'fear': 0.056537840282544494, 'happy': 35.49475967884064, 'sad': 4.612497612833977, 'surprise': 0.6797629874199629, 'neutral': 27.717113494873047}",,
14,41,female,black,angry,55.803225713214815,81.951904296875
14,41,"{'male': 0.5361152347177267, 'female': 99.46388602256775}","{'asian': 30.972491560726855, 'indian': 1.7799253705099445, 'black': 64.21318436939623, 'white': 0.20713220653725903, 'middle eastern': 0.059316898739227575, 'latino hispanic': 2.767947294887739}","{'angry': 68.90989316583953, 'disgust': 1.1190725233595242e-06, 'fear': 24.167680839576622, 'happy': 2.7830677514591513, 'sad': 4.122642681283631, 'surprise': 3.8760624574540465e-05, 'neutral': 0.016665485796348953}",,
15,28,female,white,sad,40.607881008493905,88.24567794799805
15,28,"{'male': 0.01671964710112661, 'female': 99.98327493667603}","{'asian': 0.007699785055592656, 'indian': 0.014997724792920053, 'black': 0.00018780242498905864, 'white': 86.24264001846313, 'middle eastern': 4.0766943246126175, 'latino hispanic': 9.657782316207886}","{'angry': 0.018388190073892474, 'disgust': 1.8582057004223884e-07, 'fear': 0.023142008285503834, 'happy': 5.130882188677788, 'sad': 61.21397018432617, 'surprise': 0.000107459766240936, 'neutral': 33.6135059595108}",,
16,32,female,latino hispanic,neutral,66.75327707311455,83.21857452392578
16,32,"{'male': 0.0006657995527348248, 'female': 99.99933242797852}","{'asian': 6.973893195390701, 'indian': 4.203018918633461, 'black': 1.4576531015336514, 'white': 31.610697507858276, 'middle eastern': 13.273045420646667, 'latino hispanic': 42.48169958591461}","{'angry': 0.1240732497535646, 'disgust': 0.00018081761936628027, 'fear': 0.023197679547592998, 'happy': 0.235358951613307, 'sad': 0.37615615874528885, 'surprise': 0.0005550739842874464, 'neutral': 99.24047589302063}",,
17,31,female,latino hispanic,neutral,29.61418578992169,92.75264739990234
17,31,"{'male': 0.21502911113202572, 'female': 99.7849702835083}","{'asian': 5.53765632212162, 'indian': 6.323891133069992, 'black': 3.1916700303554535, 'white': 12.34755590558052, 'middle eastern': 4.865521937608719, 'latino hispanic': 67.73370504379272}","{'angry': 0.0003230681613786146, 'disgust': 9.502125648819248e-11, 'fear': 0.2744622528553009, 'happy': 9.281240522795997e-05, 'sad': 0.33999590668827295, 'surprise': 0.19795731641352177, 'neutral': 99.187171459198}",,
18,27,female,asian,neutral,35.440090293338706,90.86570739746094
