Image_No,Age,Gender,Race,Emotion
244,44,Male,white,happy
245,39,Male,white,neutral
246,44,Male,asian,angry
247,45,Male,white,happy
248,34,Male,latino hispanic,surprise
249,27,Male,asian,neutral
250,27,Male,white,happy
251,35,Male,white,fear
252,52,Male,white,fear
253,38,Male,white,angry
254,30,Male,middle eastern,happy
255,45,Male,latino hispanic,angry
256,35,Male,white,neutral
257,30,Male,white,happy
258,37,Male,white,sad
259,28,Male,white,neutral
260,26,Male,white,neutral
261,26,Male,middle eastern,neutral
262,27,Male,white,neutral
263,29,Male,middle eastern,neutral
264,33,Male,white,happy
265,36,Male,white,happy
266,40,Male,middle eastern,neutral
267,25,Male,white,happy
268,32,Male,white,happy
269,39,Male,white,neutral
270,27,Male,white,happy
271,31,Male,white,neutral
272,36,Male,white,neutral
273,35,Male,white,surprise
274,35,Male,white,happy
275,38,Male,white,happy
276,46,Male,middle eastern,fear
277,35,Male,white,fear
278,30,Male,white,neutral
279,32,Male,white,happy
280,37,Male,white,happy
281,32,Male,white,happy
282,28,Male,middle eastern,sad
283,32,Male,white,neutral
284,35,Male,white,happy
285,29,Male,asian,fear
286,43,Male,white,happy
287,47,Male,white,happy
288,33,Male,white,neutral
289,28,Male,black,happy
290,33,Male,white,happy
291,35,Male,white,happy
292,41,Male,white,fear
293,27,Male,indian,happy
294,37,Male,white,sad
295,29,Male,white,fear
296,44,Male,latino hispanic,disgust
297,33,Male,white,sad
298,31,Male,white,fear
299,39,Male,white,happy
300,35,Male,white,happy
301,44,Male,asian,angry
302,42,Male,white,sad
303,33,Female,white,neutral
304,39,Male,white,neutral
305,36,Male,white,neutral
306,28,Male,white,happy
307,33,Female,white,angry
308,24,Male,white,neutral
309,24,Male,latino hispanic,happy
